! Configuration  W 
"00000"  0.651
"00001" .8592081
"10000" .5908237
"00010" .7641857
"01000" .5456363
"00011" 1.005178
"11000" .3951378
"00100" .7580893
"00101" .8598847
"10100" .7146475
"00110" .7961447
"01100" .7541944
"00111" .9156498
"11100" .5677461
"01001" .7919855
"10010" .6590728
"01010" .7304651
"01011" .7716346
"11010" .4879506
"01101" .8349570
"10110" .7105372
"01110" .7830265
"01111" .9195611
"11110" .5993065
"10001" .8294305
"10011" .7439301
"11001" .6279615
"10101" 1.243694
"10111" .9173488
"11101" .7919888
"11011" .5285536
"11111" 1.378860
