$\mu_e$ elements 600K 900K 1200K
0.054365 Co 9.798e-15 ? ?   
0.24201 Co ? 5.333e-10 ?    
0.44386 Co ? ? 1.1835e-07   
0.89017 Cr 9.3473e-22 ? ?   
0.90661 Cr ? 1.0125e-13 ?   
0.93072 Cr ? ? 1.0677e-09   
0.29049 Cu 1.0181e-16 ? ?   
0.54565 Cu ? 1.0633e-11 ?   
0.82357 Cu ? ? 3.0092e-09   
1.8541 F 1.4769e-22 ? ?     
1.9949 F ? 5.7757e-16 ?     
2.1343 F ? ? 8.6828e-13     
-0.0968 In 1.8233e-13 ? ?   
-0.061955 In ? 2.6861e-08 ? 
-0.0051794 In ? ? 9.1004e-06
0.59964 Mn 2.5765e-19 ? ?   
0.60061 Mn ? 5.235e-12 ?    
0.60497 Mn ? ? 2.492e-08    
1.6295 Mo 8.9922e-28 ? ?    
1.6344 Mo ? 8.5153e-18 ?    
1.6345 Mo ? ? 1.1866e-12    
1.8541 Nb 1.4781e-22 ? ?    
1.9955 Nb ? 5.9132e-16 ?    
2.1369 Nb ? ? 9.3368e-13    
0.50145 Ni 1.721e-18 ? ?    
0.51379 Ni ? 1.6035e-11 ?   
0.563 Ni ? ? 3.7393e-08     
0.91354 Pd 5.948e-22 ? ?    
0.92587 Pd ? 7.8989e-14 ?   
0.94891 Pd ? ? 8.9545e-10   
0.26501 Rh 1.6665e-16 ? ?   
0.28001 Rh ? 3.2672e-10 ?   
0.30524 Rh ? ? 4.5221e-07     
1.8541 Ta 1.479e-22 ? ?     
1.9961 Ta ? 6.0576e-16 ?    
2.1403 Ta ? ? 1.029e-12     
1.1791 Ti 3.4969e-24 ? ?    
1.1914 Ti ? 2.5731e-15 ?    
1.2145 Ti ? ? 6.8666e-11    
1.3913 V 5.7779e-26 ? ?     
1.3913 V ? 1.9567e-16 ?     
1.3913 V ? ? 1.2429e-11     
1.8538 W 1.4487e-22 ? ?     
1.9887 W ? 4.5419e-16 ?     
2.1183 W ? ? 5.5132e-13     
0.1841 Zn 7.9685e-16 ? ?    
0.37012 Zn ? 1.0224e-10 ?   
0.5652 Zn ? ? 3.6609e-08    
1.2291 Zr 1.3308e-24 ? ?    
1.2414 Zr ? 1.3512e-15 ?    
1.2644 Zr ? ? 4.2362e-11    
1.4731 Sn 1.19e-26 ? ?  
1.59 Sn ? 1.47e-17 ?
1.7197 Sn ? ? 5.19e-13
