$\mu_e$ elements 600K 900K 1200K
0.054365 Co 2.3088e-06 ? ?
0.24201 Co ? 9.4435 ?     
0.44386 Co ? ? 18167.0172 
0.89017 Cr 2.2026e-13 ? ? 
0.90661 Cr ? 0.0017929 ?  
0.93072 Cr ? ? 163.895    
0.29049 Cu 2.399e-08 ? ?  
0.54565 Cu ? 0.18829 ?    
0.82357 Cu ? ? 461.9236   
1.8541 F 1.763e-21 ? ?    
1.9949 F ? 1.4437e-09 ?   
2.1343 F ? ? 0.0014442    
0.59964 Mn 6.0712e-11 ? ? 
0.60061 Mn ? 0.0927 ?     
0.60497 Mn ? ? 3825.3589  
1.6295 Mo 1.3589e-19 ? ?  
1.6344 Mo ? 1.5073e-07 ?  
1.6343 Mo ? ? 0.18182     
0.26501 Rh 3.9268e-08 ? ? 
0.28001 Rh ? 5.7855 ?     
0.30524 Rh ? ? 69416.3128 
1.4708 Sb 2.9213e-18 ? ?  
1.5226 Sb ? 6.3719e-07 ?  
1.5377 Sb ? ? 0.46299     
1.1791 Ti 8.2401e-16 ? ?  
1.1914 Ti ? 4.5567e-05 ?  
1.2144 Ti ? ? 10.5501     
1.3913 V 1.3615e-17 ? ?   
1.3913 V ? 3.4648e-06 ?   
1.3913 V ? ? 1.9073       
1.8538 W 1.7744e-21 ? ?   
1.9887 W ? 1.5641e-09 ?   
2.1183 W ? ? 0.001686     
0.1841 Zn 1.8777e-07 ? ?  
0.37012 Zn ? 1.8104 ?     
0.5652 Zn ? ? 5619.6675   
1.2291 Zr 3.1359e-16 ? ?  
1.2414 Zr ? 2.3936e-05 ?  
1.2642 Zr ? ? 6.5185      
