$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Co_{i}^{\times}$ $Co_{i}^{\bullet}$ $Co_{i}^{\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet\bullet}$ $Co_{Sn}^{\times}$ $Co_{Sn}^{'}$ $Co_{Sn}^{''}$ $Co_{Sn}^{'''}$ $Co_{Sn}^{''''}$
1 0.49788 1.809e-13 9.7676e-05 8.1987e-20 3.7248e-17 5.4281e-14 4.731e-16 8.2538e-23 1.2097e-28 1.9136e-59 2.4647e-48 5.1213e-37 1.6738e-29 9.2759e-25 5.2584e-32 4.4351e-28 1.3323e-25 8.0947e-25 5.1284e-26 6.2309e-27 1.0356e-16 1.6147e-09 1.2068e-26 2.4214e-19 1.9505e-23 5.0859e-29 4.1711e-35 2.545e-31 2.4713e-29 2.0858e-29 9.9377e-39 6.8965e-33 7.3329e-24 3.1366e-17 5.5116e-13 5.0137e-18 2.3228e-06 9.7677e-05 2.7984e-13 1.764e-24 2.0827e-37
0.14456 0.49788 1.809e-13 9.7676e-05 2.1564e-19 9.7967e-17 1.4277e-13 1.7987e-16 3.1381e-23 4.5992e-29 1.3238e-58 1.705e-47 3.5428e-36 1.1579e-28 6.4168e-24 7.6014e-33 6.4113e-29 1.926e-26 1.1701e-25 7.4135e-27 6.2309e-27 1.0356e-16 1.6147e-09 3.1741e-26 6.3688e-19 5.13e-23 1.3377e-28 6.0296e-36 3.6789e-32 3.5724e-30 3.0152e-30 1.4366e-39 4.7708e-32 5.0727e-23 2.1698e-16 3.8127e-12 3.4684e-17 2.3228e-06 9.7677e-05 2.7984e-13 1.764e-24 2.0827e-37
0.020896 0.49788 1.809e-13 9.7676e-05 5.6716e-19 2.5767e-16 3.755e-13 6.8389e-17 1.1931e-23 1.7486e-29 9.1577e-58 1.1795e-46 2.4508e-35 8.0099e-28 4.439e-23 1.0988e-33 9.2679e-30 2.7841e-27 1.6915e-26 1.0717e-27 6.2309e-27 1.0356e-16 1.6147e-09 8.3484e-26 1.6751e-18 1.3493e-22 3.5183e-28 8.7162e-37 5.3181e-33 5.1642e-31 4.3587e-31 2.0766e-40 3.3003e-31 3.5091e-22 1.501e-15 2.6375e-11 2.3993e-16 2.3228e-06 9.7677e-05 2.7984e-13 1.764e-24 2.0827e-37
0.0030207 0.49788 1.809e-13 9.7675e-05 1.4917e-18 6.7771e-16 9.8762e-13 2.6002e-17 4.5364e-24 6.6485e-30 6.3351e-57 8.1594e-46 1.6954e-34 5.5409e-27 3.0707e-22 1.5884e-34 1.3397e-30 4.0247e-28 2.4452e-27 1.5492e-28 6.2309e-27 1.0356e-16 1.6147e-09 2.1958e-25 4.4057e-18 3.5488e-22 9.2535e-28 1.26e-37 7.6877e-34 7.4652e-32 6.3008e-32 3.002e-41 2.283e-30 2.4275e-21 1.0383e-14 1.8245e-10 1.6597e-15 2.3227e-06 9.7677e-05 2.7984e-13 1.764e-24 2.0828e-37
0.00043666 0.49789 1.8091e-13 9.7671e-05 3.9235e-18 1.7824e-15 2.5974e-12 9.8861e-18 1.7248e-24 2.528e-30 4.3824e-56 5.6442e-45 1.1727e-33 3.8325e-26 2.1238e-21 2.2962e-35 1.9368e-31 5.8184e-29 3.5352e-28 2.2398e-29 6.2312e-27 1.0356e-16 1.6146e-09 5.7752e-25 1.1587e-17 9.333e-22 2.4335e-27 1.8214e-38 1.1113e-34 1.0792e-32 9.1094e-33 4.3403e-42 1.5793e-29 1.6791e-20 7.182e-14 1.2619e-09 1.1479e-14 2.3226e-06 9.7676e-05 2.7985e-13 1.7642e-24 2.083e-37
6.3122e-05 0.49792 1.8096e-13 9.7642e-05 1.0319e-17 4.6866e-15 6.8274e-12 3.7587e-18 6.5599e-25 9.6173e-31 3.0316e-55 3.9034e-44 8.1077e-33 2.6489e-25 1.4675e-20 3.3192e-36 2.8005e-32 8.4159e-30 5.1149e-29 3.2417e-30 6.233e-27 1.0356e-16 1.6141e-09 1.519e-24 3.0467e-17 2.4533e-21 6.3948e-27 2.6329e-39 1.607e-35 1.561e-33 1.318e-33 6.2816e-43 1.0921e-28 1.1608e-19 4.9635e-13 8.7187e-09 7.9284e-14 2.3218e-06 9.767e-05 2.7991e-13 1.7651e-24 2.0847e-37
9.1247e-06 0.49813 1.8133e-13 9.7443e-05 2.7142e-17 1.2301e-14 1.7884e-11 1.4291e-18 2.4992e-25 3.6715e-31 2.0972e-54 2.6947e-43 5.5858e-32 1.8212e-24 1.0069e-19 4.7982e-37 4.0566e-33 1.2215e-30 7.4393e-30 4.7245e-31 6.2458e-27 1.0356e-16 1.6108e-09 3.9951e-24 7.997e-17 6.4262e-21 1.6717e-26 3.8061e-40 2.3278e-36 2.2658e-34 1.9169e-34 9.1549e-44 7.5359e-28 7.9936e-19 3.4111e-12 5.9796e-08 5.4265e-13 2.316e-06 9.7624e-05 2.8035e-13 1.7715e-24 2.0966e-37
1.319e-06 0.49951 1.8376e-13 9.6156e-05 7.1387e-17 3.1926e-14 4.58e-11 5.4335e-19 9.6296e-26 1.4337e-31 1.4508e-53 1.8395e-42 3.7625e-31 1.2105e-23 6.6037e-19 6.9361e-38 5.9428e-34 1.8135e-31 1.1193e-30 7.2036e-32 6.3296e-27 1.0356e-16 1.5895e-09 1.0508e-23 2.0755e-16 1.6457e-20 4.2244e-26 5.5019e-41 3.4101e-37 3.3639e-35 2.8841e-35 1.3959e-44 5.1286e-27 5.3681e-18 2.2604e-11 3.9099e-07 3.5012e-12 2.2784e-06 9.7331e-05 2.8326e-13 1.8139e-24 2.1756e-37
1.9067e-07 0.50659 1.968e-13 8.98e-05 1.8776e-16 7.8407e-14 1.0503e-10 2.0658e-19 3.921e-26 6.2517e-32 1.0036e-52 1.1882e-41 2.2693e-30 6.8174e-23 3.4728e-18 1.0027e-38 9.2002e-35 3.0068e-32 1.9874e-31 1.3698e-32 6.7787e-27 1.0356e-16 1.4842e-09 2.7637e-23 5.0972e-16 3.774e-20 9.0456e-26 7.9533e-42 5.2792e-38 5.5771e-36 5.121e-36 2.6544e-45 3.2634e-26 3.1895e-17 1.254e-10 2.0255e-06 1.6936e-11 2.0957e-06 9.5879e-05 2.9883e-13 2.0494e-24 2.6324e-37
2.7563e-08 0.52693 2.3958e-13 7.3797e-05 4.9383e-16 1.694e-13 1.8641e-10 7.8544e-20 1.8148e-26 3.5225e-32 6.9427e-52 6.752e-41 1.0593e-29 2.6142e-22 1.0939e-17 1.4494e-39 1.619e-35 6.4411e-33 5.1828e-32 4.3486e-33 8.252e-27 1.0356e-16 1.2192e-09 7.269e-23 1.1013e-15 6.6981e-20 1.3188e-25 1.1497e-42 9.2901e-39 1.1947e-36 1.3355e-36 8.4266e-46 1.7835e-25 1.4319e-16 4.6247e-10 6.1359e-06 4.2146e-11 1.6557e-06 9.2208e-05 3.4986e-13 2.9208e-24 4.567e-37
