$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Cr_{i}^{\times}$ $Cr_{i}^{\bullet}$ $Cr_{i}^{\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Cr_{Sn}^{\times}$ $Cr_{Sn}^{\bullet}$ $Cr_{Sn}^{\bullet\bullet}$ $Cr_{Sn}^{'}$ $Cr_{Sn}^{''}$ $Cr_{Sn}^{'''}$ $Cr_{Sn}^{''''}$
1 1.1618 1.1107e-10 1.5948e-07 8.1987e-20 6.0664e-20 1.4398e-19 4.731e-16 5.0678e-20 4.5603e-23 1.9136e-59 4.0143e-51 1.3585e-42 7.231e-38 6.5266e-36 5.2584e-32 2.7232e-25 5.0228e-20 1.8737e-16 7.2888e-15 3.8257e-24 1.0356e-16 2.6298e-12 1.2068e-26 3.9437e-22 5.1737e-29 2.1972e-37 4.1711e-35 1.5626e-28 9.3167e-24 4.8281e-21 1.4124e-27 6.8459e-43 6.9772e-36 7.7552e-32 1.594e-32 4.2701e-36 3.5148e-44 5.2218e-56 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
0.14456 1.1618 1.1107e-10 1.5948e-07 2.1564e-19 1.5956e-19 3.787e-19 1.7987e-16 1.9268e-20 1.7339e-23 1.3238e-58 2.777e-50 9.3975e-42 5.0022e-37 4.5149e-35 7.6014e-33 3.9365e-26 7.2608e-21 2.7086e-17 1.0536e-15 3.8257e-24 1.0356e-16 2.6298e-12 3.1741e-26 1.0373e-21 1.3608e-28 5.779e-37 6.0296e-36 2.2588e-29 1.3468e-24 6.9794e-22 2.0417e-28 4.7358e-42 4.8266e-35 5.3648e-31 1.1027e-31 2.9539e-35 2.4314e-43 3.6123e-55 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
0.020896 1.1618 1.1107e-10 1.5948e-07 5.6716e-19 4.1966e-19 9.9605e-19 6.8389e-17 7.3259e-21 6.5922e-24 9.1577e-58 1.921e-49 6.5009e-41 3.4604e-36 3.1233e-34 1.0988e-33 5.6905e-27 1.0496e-21 3.9154e-18 1.5231e-16 3.8257e-24 1.0356e-16 2.6298e-12 8.3484e-26 2.7282e-21 3.579e-28 1.52e-36 8.7162e-37 3.2653e-30 1.9469e-25 1.0089e-22 2.9514e-29 3.2761e-41 3.3389e-34 3.7112e-30 7.628e-31 2.0435e-34 1.682e-42 2.4989e-54 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
0.0030207 1.1618 1.1107e-10 1.5948e-07 1.4917e-18 1.1038e-18 2.6198e-18 2.6002e-17 2.7853e-21 2.5064e-24 6.3351e-57 1.3289e-48 4.4972e-40 2.3938e-35 2.1606e-33 1.5884e-34 8.2259e-28 1.5173e-22 5.66e-19 2.2017e-17 3.8257e-24 1.0356e-16 2.6298e-12 2.1958e-25 7.1755e-21 9.4135e-28 3.9977e-36 1.26e-37 4.7202e-31 2.8143e-26 1.4584e-23 4.2664e-30 2.2663e-40 2.3098e-33 2.5673e-29 5.2769e-30 1.4136e-33 1.1636e-41 1.7287e-53 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
0.00043666 1.1618 1.1107e-10 1.5948e-07 3.9235e-18 2.9031e-18 6.8904e-18 9.8861e-18 1.059e-21 9.5295e-25 4.3824e-56 9.193e-48 3.111e-39 1.656e-34 1.4947e-32 2.2962e-35 1.1891e-28 2.1933e-23 8.1818e-20 3.1827e-18 3.8257e-24 1.0356e-16 2.6298e-12 5.7752e-25 1.8873e-20 2.4759e-27 1.0515e-35 1.8214e-38 6.8233e-32 4.0683e-27 2.1083e-24 6.1674e-31 1.5678e-39 1.5978e-32 1.776e-28 3.6504e-29 9.779e-33 8.0491e-41 1.1958e-52 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
6.3122e-05 1.1618 1.1107e-10 1.5948e-07 1.0319e-17 7.6355e-18 1.8123e-17 3.7587e-18 4.0264e-22 3.6232e-25 3.0316e-55 6.3595e-47 2.1521e-38 1.1456e-33 1.034e-31 3.3192e-36 1.7189e-29 3.1705e-24 1.1827e-20 4.6008e-19 3.8257e-24 1.0356e-16 2.6298e-12 1.519e-24 4.9638e-20 6.512e-27 2.7655e-35 2.6329e-39 9.8635e-33 5.8809e-28 3.0476e-25 8.9153e-32 1.0845e-38 1.1053e-31 1.2286e-27 2.5252e-28 6.7648e-32 5.5682e-40 8.2725e-52 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
9.1247e-06 1.1618 1.1107e-10 1.5948e-07 2.7142e-17 2.0083e-17 4.7666e-17 1.4291e-18 1.5308e-22 1.3775e-25 2.0972e-54 4.3993e-46 1.4888e-37 7.9246e-33 7.1526e-31 4.7982e-37 2.4848e-30 4.5832e-25 1.7097e-21 6.6508e-20 3.8257e-24 1.0356e-16 2.6298e-12 3.9951e-24 1.3056e-19 1.7127e-26 7.2737e-35 3.8061e-40 1.4258e-33 8.5012e-29 4.4055e-26 1.2888e-32 7.5026e-38 7.6465e-31 8.4991e-27 1.7469e-27 4.6797e-31 3.8519e-39 5.7227e-51 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
1.319e-06 1.1618 1.1107e-10 1.5948e-07 7.1387e-17 5.2821e-17 1.2537e-16 5.4335e-19 5.8204e-23 5.2375e-26 1.4508e-53 3.0433e-45 1.0299e-36 5.482e-32 4.948e-30 6.9361e-38 3.592e-31 6.6253e-26 2.4715e-22 9.6141e-21 3.8257e-24 1.0356e-16 2.6298e-12 1.0508e-23 3.4338e-19 4.5048e-26 1.9131e-34 5.5019e-41 2.0611e-34 1.2289e-29 6.3685e-27 1.863e-33 5.1901e-37 5.2896e-30 5.8794e-26 1.2085e-26 3.2373e-30 2.6646e-38 3.9588e-50 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
1.9067e-07 1.1618 1.1107e-10 1.5948e-07 1.8776e-16 1.3893e-16 3.2974e-16 2.0658e-19 2.2129e-23 1.9913e-26 1.0036e-52 2.1053e-44 7.1245e-36 3.7923e-31 3.4229e-29 1.0027e-38 5.1924e-32 9.5773e-27 3.5727e-23 1.3898e-21 3.8257e-24 1.0356e-16 2.6298e-12 2.7637e-23 9.0315e-19 1.1848e-25 5.0318e-34 7.9533e-42 2.9795e-35 1.7765e-30 9.206e-28 2.6931e-34 3.5903e-36 3.6592e-29 4.0672e-25 8.3598e-26 2.2395e-29 1.8433e-37 2.7386e-49 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
2.7563e-08 1.1618 1.1107e-10 1.5948e-07 4.9383e-16 3.654e-16 8.6726e-16 7.8544e-20 8.4137e-24 7.5711e-27 6.9427e-52 1.4564e-43 4.9285e-35 2.6234e-30 2.3679e-28 1.4494e-39 7.5059e-33 1.3845e-27 5.1646e-24 2.009e-22 3.8257e-24 1.0356e-16 2.6298e-12 7.269e-23 2.3754e-18 3.1163e-25 1.3234e-33 1.1497e-42 4.307e-36 2.568e-31 1.3308e-28 3.893e-35 2.4837e-35 2.5313e-28 2.8136e-24 5.783e-25 1.5492e-28 1.2752e-36 1.8945e-48 9.984e-05 4.9282e-10 7.5944e-17 1.5986e-07 3.7689e-15 3.1674e-21 2.1651e-31
