$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Cu_{i}^{\times}$ $Cu_{i}^{\bullet}$ $Cu_{i}^{\bullet\bullet}$ $Cu_{i}^{\bullet\bullet\bullet}$ $Cu_{Sn}^{'}$ $Cu_{Sn}^{''}$ $Cu_{Sn}^{'''}$ $Cu_{Sn}^{''''}$
1 0.27256 2.7565e-26 1.9056e-05 3.3609e-39 5.417e-32 8.9836e-24 1.1191e-31 4.362e-47 1.1998e-60 1.831e-118 2.3719e-94 7.9968e-70 6.6702e-53 1.5997e-41 2.7651e-63 2.519e-57 2.911e-54 1.376e-54 7.0731e-59 2.4859e-55 5.3623e-33 1.018e-16 7.2821e-53 2.2893e-36 1.1599e-42 6.1586e-52 1.7398e-69 8.2942e-64 1.0015e-61 9.1366e-64 2.6559e-84 7.0713e-24 2.0448e-06 0.003325 4.3941e-07 0.0066725 7.306e-09 6.194e-26 5.5401e-50
0.020896 0.33921 1.0003e-25 5.2578e-06 2.325e-38 1.0326e-31 4.7193e-24 1.6177e-32 2.2882e-47 2.284e-60 8.7623e-117 3.128e-93 2.906e-69 6.6797e-53 4.4146e-42 5.7781e-65 1.9102e-58 8.0106e-55 1.3741e-54 2.5631e-58 9.0208e-55 5.3623e-33 2.8052e-17 5.0375e-52 4.3642e-36 6.0933e-43 8.9152e-53 3.6357e-71 6.2895e-65 2.7561e-62 9.1237e-64 9.6242e-84 9.316e-23 7.4234e-06 0.0033265 1.2114e-07 0.0066659 2.6487e-08 8.1488e-25 2.6449e-48
0.00043666 0.40591 3.6344e-25 1.4476e-06 1.6084e-37 1.9661e-31 2.473e-24 2.3385e-33 1.2018e-47 4.3586e-60 4.1932e-115 4.1198e-92 1.0534e-68 6.6643e-53 1.2122e-42 1.2074e-66 1.4503e-59 2.2098e-55 1.3773e-54 9.3341e-58 3.2776e-54 5.3623e-33 7.7206e-18 3.4848e-51 8.3091e-36 3.193e-43 1.2858e-53 7.5973e-73 4.7753e-66 7.6029e-63 9.1447e-64 3.5049e-83 1.2256e-21 2.6878e-05 0.0033149 3.3225e-08 0.0066581 9.6122e-08 1.0745e-23 1.2671e-46
9.1247e-06 0.47276 1.3241e-24 3.9738e-07 1.1126e-36 3.7333e-31 1.2889e-24 3.3805e-34 6.3293e-48 8.3625e-60 2.0066e-113 5.4116e-91 3.7983e-68 6.5956e-53 3.2931e-43 2.5231e-68 1.1041e-60 6.1289e-56 1.3916e-54 3.436e-57 1.1941e-53 5.3623e-33 2.1192e-18 2.4107e-50 1.5778e-35 1.6642e-43 1.8395e-54 1.5876e-74 3.6354e-67 2.1087e-63 9.24e-64 1.2902e-82 1.6041e-20 9.6562e-05 0.0032689 8.9935e-09 0.0066341 3.4893e-07 1.421e-22 6.105e-45
1.9067e-07 0.54008 4.8682e-24 1.0808e-07 7.6969e-36 7.0242e-31 6.5959e-25 4.8867e-35 3.364e-48 1.6342e-59 9.6028e-112 7.0436e-90 1.3446e-67 6.3503e-53 8.6235e-44 5.2724e-70 8.4827e-62 1.7313e-56 1.4454e-54 1.3121e-56 4.3903e-53 5.3623e-33 5.7639e-19 1.6677e-49 2.9686e-35 8.5162e-44 2.5603e-55 3.3174e-76 2.7931e-68 5.9566e-64 9.5968e-64 4.9268e-82 2.0621e-19 0.00033762 0.0031086 2.3261e-09 0.0065525 1.2671e-06 1.8973e-21 2.997e-43
3.9844e-09 0.60904 1.8478e-23 2.8475e-08 5.3245e-35 1.2802e-30 3.167e-25 7.064e-36 1.8458e-48 3.4034e-59 4.5954e-110 8.8803e-89 4.4661e-67 5.5571e-53 1.9881e-44 1.1017e-71 6.7283e-63 5.2124e-57 1.6517e-54 5.6913e-56 1.6664e-52 5.3623e-33 1.5185e-19 1.1536e-48 5.4102e-35 4.0891e-44 3.2387e-56 6.9323e-78 2.2154e-69 1.7933e-64 1.0967e-63 2.137e-81 2.5e-18 0.0010784 0.0026159 5.157e-10 0.006301 4.6251e-06 2.6286e-20 1.5761e-41
8.3261e-11 0.68313 7.744e-23 6.7946e-09 3.6833e-34 2.1131e-30 1.2474e-25 1.0212e-36 1.1182e-48 8.6409e-59 2.1991e-108 1.014e-87 1.2169e-66 3.6129e-53 3.0842e-45 2.3023e-73 5.8922e-64 1.913e-57 2.5405e-54 3.6686e-55 6.9838e-52 5.3623e-33 3.6234e-20 7.9806e-48 8.9305e-35 1.6106e-44 3.0438e-57 1.4486e-79 1.9401e-70 6.5817e-65 1.6868e-63 1.3775e-80 2.6048e-17 0.0026811 0.0015518 7.2998e-11 0.0057494 1.7686e-05 4.2125e-19 1.0585e-39
1.7399e-12 0.76785 3.9861e-22 1.32e-09 2.548e-33 2.8399e-30 3.2568e-26 1.4761e-37 8.3204e-49 3.3095e-58 1.0524e-106 9.4274e-87 2.1979e-66 1.2677e-53 2.1025e-46 4.8109e-75 6.3378e-65 1.0592e-57 7.2401e-54 5.3817e-54 3.5948e-51 5.3623e-33 7.0393e-21 5.5207e-47 1.2002e-34 4.205e-45 1.5439e-58 3.0271e-81 2.0868e-71 3.6441e-65 4.8073e-63 2.0208e-79 2.1569e-16 0.004313 0.000485 4.4322e-12 0.0051209 8.1085e-05 9.941e-18 1.2858e-37
3.6357e-14 0.85992 2.3655e-21 2.2244e-10 1.7627e-32 3.3105e-30 6.3978e-27 2.1338e-38 7.1375e-49 1.6848e-57 5.0362e-105 7.6024e-86 2.9867e-66 2.9031e-54 8.1132e-48 1.0053e-76 7.8592e-66 7.7941e-58 3.1617e-53 1.3946e-52 2.1332e-50 5.3623e-33 1.1862e-21 3.8191e-46 1.3991e-34 8.2604e-46 5.1108e-60 6.3255e-83 2.5878e-72 2.6816e-65 2.0993e-62 5.2367e-78 1.5028e-15 0.0050639 9.5957e-05 1.4777e-13 0.0044244 0.00041573 3.0246e-16 2.3216e-35
7.5973e-16 0.94581 1.2456e-20 4.2243e-11 1.2194e-31 4.3492e-30 1.5962e-27 3.0846e-39 5.433e-49 6.7529e-57 2.4101e-103 6.9091e-85 5.1548e-66 9.515e-55 5.05e-49 2.1007e-78 8.6479e-67 4.516e-58 9.6464e-53 2.2406e-51 1.1233e-49 5.3623e-33 2.2527e-22 2.6419e-45 1.838e-34 2.0609e-46 2.4215e-61 1.3218e-84 2.8475e-73 1.5537e-65 6.4049e-62 8.4132e-77 8.8775e-15 0.0056808 2.0443e-05 5.9785e-15 0.0028758 0.0014229 5.4513e-15 2.2033e-33
1.5876e-17 1.0208 5.307e-20 9.9146e-12 8.4352e-31 7.0614e-30 6.0826e-28 4.459e-40 3.3462e-49 1.772e-56 1.1533e-101 7.7602e-84 1.3589e-65 5.8872e-55 7.3336e-50 4.3898e-80 7.6994e-68 1.7131e-58 1.5591e-52 1.5429e-50 4.786e-49 5.3623e-33 5.2873e-23 1.8276e-44 2.9843e-34 7.8535e-47 2.1658e-62 2.7621e-86 2.5352e-74 5.8939e-66 1.0352e-61 5.7934e-76 4.1673e-14 0.006259 5.2864e-06 3.6286e-16 0.0012019 0.0025338 4.1359e-14 7.1221e-32
3.3175e-19 1.09 2.0264e-19 2.5965e-12 5.8352e-30 1.2793e-29 2.8859e-28 6.4457e-41 1.847e-49 3.7349e-56 5.5193e-100 9.7256e-83 4.4601e-65 5.0605e-55 1.6509e-50 9.1732e-82 6.1435e-69 5.2194e-59 1.8138e-52 6.8539e-50 1.8275e-48 5.3623e-33 1.3847e-23 1.2643e-43 5.4066e-34 3.7262e-47 2.6911e-63 5.7719e-88 2.0228e-75 1.7957e-66 1.2043e-61 2.5736e-75 1.662e-13 0.0065372 1.446e-06 2.5994e-17 0.00038248 0.0030788 1.9189e-13 1.2618e-30
