$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $F_{i}^{'}$ $F_{i}^{\times}$ $F_{i}^{\bullet}$ $F_{O}^{\times}$ $F_{O}^{\bullet}$
1 1.8663 6.7134e-13 7.8376e-19 3.3609e-39 2.2242e-45 1.5145e-50 1.1191e-31 1.0624e-33 7.117e-34 1.831e-118 9.7389e-108 1.3481e-96 4.617e-93 4.5464e-95 2.7651e-63 6.1351e-44 1.7268e-27 1.988e-14 2.4888e-05 6.0544e-42 5.3623e-33 4.1796e-30 7.2821e-53 9.3997e-50 1.9554e-69 4.2628e-92 1.7398e-69 2.0201e-50 5.941e-35 1.32e-23 9.3451e-31 3.3135e-09 9.9846e-21 9.0086e-35 4.425e-07 9.9554e-05
0.020896 1.9162 1.7626e-12 2.9852e-19 2.325e-38 5.8604e-45 1.5199e-50 1.6177e-32 4.032e-34 7.0916e-34 8.7623e-117 1.7751e-106 9.3594e-96 1.2209e-92 4.5791e-95 5.7781e-65 3.3659e-45 2.4872e-28 7.518e-15 2.471e-05 1.5895e-41 5.3623e-33 1.592e-30 5.0375e-52 2.4767e-49 1.9624e-69 1.6295e-92 3.6357e-71 1.1083e-51 8.5574e-36 4.9917e-24 9.2784e-31 3.2781e-09 3.7623e-21 1.2929e-35 1.1535e-06 9.8843e-05
0.00043666 1.9659 4.6145e-12 1.1403e-19 1.6084e-37 1.5485e-44 1.534e-50 2.3385e-33 1.5259e-34 7.0263e-34 4.1932e-115 3.2448e-105 6.5347e-95 3.256e-92 4.6645e-95 1.2074e-66 1.8414e-46 3.5624e-29 2.819e-15 2.4257e-05 4.1615e-41 5.3623e-33 6.0808e-31 3.4848e-51 6.5443e-49 1.9807e-69 6.2819e-93 7.5973e-73 6.0631e-53 1.2256e-36 1.8717e-24 9.1084e-31 3.1884e-09 1.3978e-21 1.8348e-36 2.9645e-06 9.7032e-05
9.1247e-06 2.0153 1.1997e-11 4.3858e-20 1.1126e-36 4.1203e-44 1.57e-50 3.3805e-34 5.7348e-35 6.8654e-34 2.0066e-113 5.9726e-104 4.6265e-94 8.8665e-92 4.8858e-95 2.5231e-68 1.0004e-47 5.0317e-30 1.0352e-15 2.3159e-05 1.0819e-40 5.3623e-33 2.3389e-31 2.4107e-50 1.7413e-48 2.0271e-69 2.4729e-93 1.5876e-74 3.2939e-54 1.7312e-37 6.8734e-25 8.696e-31 2.9744e-09 5.0153e-22 2.5322e-37 7.3582e-06 9.2639e-05
1.9067e-07 2.0639 3.0709e-11 1.7134e-20 7.6969e-36 1.1135e-43 1.6576e-50 4.8867e-35 2.122e-35 6.5024e-34 9.6028e-112 1.1166e-102 3.3791e-93 2.53e-91 5.4465e-95 5.2724e-70 5.3509e-49 6.8891e-31 3.6279e-16 2.0775e-05 2.7694e-40 5.3623e-33 9.1374e-32 1.6677e-49 4.706e-48 2.1402e-69 1.02e-93 3.3174e-76 1.7619e-55 2.3702e-38 2.4088e-25 7.8008e-31 2.5271e-09 1.6647e-22 3.2836e-38 1.6896e-05 8.3102e-05
3.9844e-09 2.111 7.6367e-11 6.89e-21 5.3245e-35 3.0975e-43 1.8542e-50 7.064e-36 7.6283e-36 5.8131e-34 4.5954e-110 2.1487e-101 2.6148e-92 7.8723e-91 6.8147e-95 1.1017e-71 2.7807e-50 8.9029e-32 1.1659e-16 1.6604e-05 6.8871e-40 5.3623e-33 3.6743e-32 1.1536e-48 1.3091e-47 2.394e-69 4.588e-94 6.9323e-78 9.1559e-57 3.0631e-39 7.7415e-26 6.2346e-31 1.8056e-09 4.783e-23 3.7937e-39 3.3581e-05 6.6417e-05
8.3261e-11 2.1561 1.8252e-10 2.8829e-21 3.6833e-34 8.9658e-43 2.2456e-50 1.0212e-36 2.6355e-36 4.7999e-34 2.1991e-108 4.3024e-100 2.1907e-91 2.7596e-90 9.9955e-95 2.3023e-73 1.3887e-51 1.0626e-32 3.326e-17 1.132e-05 1.646e-39 5.3623e-33 1.5374e-32 7.9806e-48 3.7891e-47 2.8994e-69 2.3249e-94 1.4486e-79 4.5726e-58 3.6561e-40 2.2084e-26 4.2506e-31 1.0164e-09 1.1266e-23 3.7388e-40 5.4718e-05 4.5281e-05
1.7399e-12 2.1991 4.1972e-10 1.2536e-21 2.548e-33 2.6971e-42 2.9375e-50 1.4761e-37 8.761e-37 3.6693e-34 1.0524e-106 8.9532e-99 1.9824e-90 1.0859e-89 1.7104e-94 4.8109e-75 6.6734e-53 1.1743e-33 8.4524e-18 6.6155e-06 3.7852e-39 5.3623e-33 6.6853e-33 5.5207e-47 1.1398e-46 3.7927e-69 1.3225e-94 3.0271e-81 2.1973e-59 4.0402e-41 5.6121e-27 2.4841e-31 4.5411e-10 2.1887e-24 3.1586e-41 7.3537e-05 2.6463e-05
3.6357e-14 2.2408 9.3904e-10 5.6032e-22 1.7627e-32 8.3393e-42 4.0596e-50 2.1338e-38 2.8335e-37 2.6551e-34 5.0362e-105 1.9151e-97 1.8952e-89 4.6403e-89 3.2667e-94 1.0053e-76 3.12e-54 1.2283e-34 1.978e-18 3.4637e-06 8.4686e-39 5.3623e-33 2.9881e-33 3.8191e-46 3.5244e-46 5.2416e-69 8.1692e-95 6.3255e-83 1.0273e-60 4.226e-42 1.3133e-27 1.3006e-31 1.7205e-10 3.7063e-25 2.3907e-42 8.6144e-05 1.3856e-05
7.5973e-16 2.2816 2.0677e-09 2.5447e-22 1.2194e-31 2.62e-41 5.7924e-50 3.0846e-39 9.0188e-38 1.8608e-34 2.4101e-103 4.1621e-96 1.8706e-88 2.0801e-88 6.6505e-94 2.1007e-78 1.4355e-55 1.2444e-35 4.4126e-19 1.7014e-06 1.8647e-38 5.3623e-33 1.3571e-33 2.6419e-45 1.1073e-45 7.4788e-69 5.2937e-95 1.3218e-84 4.7268e-62 4.2815e-43 2.9298e-28 6.3885e-32 5.9242e-11 5.796e-26 1.6979e-43 9.3192e-05 6.8076e-06
1.5876e-17 2.322 4.5148e-09 1.1654e-22 8.4352e-31 8.3005e-41 8.4044e-50 4.459e-40 2.8467e-38 1.2825e-34 1.1533e-101 9.1218e-95 1.8776e-87 9.5619e-88 1.4001e-93 4.3898e-80 6.5501e-57 1.2398e-36 9.5991e-20 8.0816e-07 4.0716e-38 5.3623e-33 6.215e-34 1.8276e-44 3.508e-45 1.0851e-68 3.5176e-95 2.7621e-86 2.1567e-63 4.2656e-44 6.3736e-29 3.0346e-32 1.9416e-11 8.6995e-27 1.1672e-44 9.6763e-05 3.2372e-06
3.3175e-19 2.3621 9.811e-09 5.3631e-23 5.8352e-30 2.6424e-40 1.2312e-49 6.4457e-41 8.9424e-39 8.7547e-35 5.5193e-100 2.0088e-93 1.9028e-86 4.4591e-87 3.0046e-93 9.1732e-82 2.9744e-58 1.2234e-37 2.0584e-20 3.7659e-07 8.8479e-38 5.3623e-33 2.86e-34 1.2643e-43 1.1167e-44 1.5896e-68 2.3713e-95 5.7719e-88 9.7936e-65 4.2092e-45 1.3667e-29 1.414e-32 6.2075e-12 1.2799e-27 7.9022e-46 9.8484e-05 1.5162e-06
6.9323e-21 2.4019 2.12e-08 2.482e-23 4.0367e-29 8.4594e-40 1.8241e-49 9.3177e-42 2.7932e-39 5.909e-35 2.6413e-98 4.4488e-92 1.9502e-85 2.1151e-86 6.5955e-93 1.9169e-83 1.343e-59 1.1937e-38 4.3396e-21 1.7156e-07 1.9119e-37 5.3623e-33 1.3236e-34 8.7461e-43 3.5751e-44 2.3552e-68 1.6259e-95 1.2061e-89 4.4222e-66 4.1069e-46 2.8814e-30 6.4418e-33 1.9549e-12 1.8654e-28 5.3299e-47 9.9293e-05 7.0743e-07
1.4486e-22 2.4408 4.4953e-08 1.1705e-23 2.7924e-28 2.7597e-39 2.8064e-49 1.3469e-42 8.562e-40 3.8407e-35 1.264e-96 1.004e-90 2.0756e-84 1.0616e-85 1.5611e-92 4.0056e-85 5.951e-61 1.1216e-39 8.6462e-22 7.2479e-08 4.054e-37 5.3623e-33 6.2419e-35 6.0503e-42 1.1663e-43 3.6235e-68 1.1797e-95 2.5204e-91 1.9595e-67 3.8588e-47 5.7408e-31 2.7215e-33 6.0148e-13 2.7067e-29 3.6471e-48 9.9665e-05 3.3487e-07
3.0271e-24 2.4751 8.719e-08 6.0347e-24 1.9317e-27 9.8429e-39 5.1605e-49 1.9471e-43 2.4006e-40 2.0887e-35 6.0487e-95 2.4772e-89 2.6403e-83 6.9622e-85 5.2787e-92 8.3703e-87 2.412e-62 8.817e-41 1.3183e-22 2.1435e-08 7.8632e-37 5.3623e-33 3.2182e-35 4.1854e-41 4.1598e-43 6.663e-68 1.1184e-95 5.2667e-93 7.9419e-69 3.0335e-48 8.7534e-32 8.0486e-34 1.6892e-13 3.919e-30 2.7226e-49 9.9827e-05 1.7293e-07
6.3256e-26 2.4914 1.1968e-07 4.3964e-24 1.3363e-26 4.9605e-38 1.8947e-48 2.8146e-44 4.7634e-41 5.6889e-36 2.8946e-93 8.6362e-88 6.7058e-82 1.2882e-83 7.1156e-91 1.7491e-88 6.9184e-64 3.4715e-42 7.1249e-24 1.5901e-09 1.0793e-36 5.3623e-33 2.3445e-35 2.8954e-40 2.0964e-42 2.4463e-67 2.9915e-95 1.1006e-94 2.278e-70 1.1944e-49 4.7308e-33 5.9709e-35 3.3533e-14 5.6679e-31 2.8685e-50 9.9874e-05 1.2604e-07
1.3218e-27 2.4927 1.2275e-07 4.2865e-24 9.2443e-26 3.3458e-37 1.246e-47 4.0687e-45 7.0623e-42 8.6506e-37 1.3852e-91 4.0296e-86 3.0507e-80 5.7141e-82 3.0773e-89 3.655e-90 1.4828e-65 7.6308e-44 1.6063e-25 3.6769e-11 1.107e-36 5.3623e-33 2.2859e-35 2.0029e-39 1.414e-41 1.6088e-66 1.9181e-94 2.2998e-96 4.8823e-72 2.6254e-51 1.0665e-34 1.3806e-36 4.9718e-15 8.1935e-32 4.0432e-51 9.9877e-05 1.229e-07
2.7621e-29 2.4928 1.2282e-07 4.284e-24 6.395e-25 2.3132e-36 8.6094e-47 5.8816e-46 1.0215e-42 1.252e-37 6.6289e-90 1.9272e-84 1.4582e-78 2.7297e-80 1.4692e-87 7.6377e-92 3.1003e-67 1.5964e-45 3.3625e-27 7.7014e-13 1.1077e-36 5.3623e-33 2.2846e-35 1.3856e-38 9.7759e-41 1.1116e-65 1.3246e-93 4.8057e-98 1.0208e-73 5.4926e-53 2.2326e-36 2.8918e-38 7.1913e-16 1.1844e-32 5.8412e-52 9.9877e-05 1.2282e-07
5.7719e-31 2.4928 1.2282e-07 4.2839e-24 4.4239e-24 1.6002e-35 5.9556e-46 8.5022e-47 1.4767e-43 1.8098e-38 3.1723e-88 9.2225e-83 6.978e-77 1.3062e-78 7.0305e-86 1.596e-93 6.4786e-69 3.3361e-47 7.0268e-29 1.6094e-14 1.1077e-36 5.3623e-33 2.2845e-35 9.5851e-38 6.7626e-40 7.6895e-65 9.1626e-93 1.0042e-99 2.1332e-75 1.1478e-54 4.6656e-38 6.0431e-40 1.0396e-16 1.7122e-33 8.4437e-53 9.9877e-05 1.2282e-07
