$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Mn_{i}^{\times}$ $Mn_{i}^{\bullet}$ $Mn_{i}^{\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mn_{Sn}^{\times}$ $Mn_{Sn}^{\bullet}$ $Mn_{Sn}^{\bullet\bullet}$ $Mn_{Sn}^{\bullet\bullet\bullet}$ $Mn_{Sn}^{'}$ $Mn_{Sn}^{''}$ $Mn_{Sn}^{'''}$ $Mn_{Sn}^{''''}$
1 0.60586 5.1396e-13 3.4434e-05 8.1987e-20 1.311e-17 6.7245e-15 4.731e-16 2.345e-22 9.7645e-28 1.9136e-59 8.6751e-49 6.3444e-38 7.2982e-31 1.4236e-26 5.2584e-32 1.2601e-27 1.0755e-24 1.8565e-23 3.3417e-24 1.7703e-26 1.0356e-16 5.6832e-10 1.2068e-26 8.5227e-20 2.4163e-24 2.2176e-30 4.1711e-35 7.2307e-31 1.9949e-28 4.7837e-28 6.4754e-37 5.4247e-35 1.2562e-26 1.316e-20 2.6997e-18 7.8909e-23 3.9284e-29 4.6394e-36 1.6582e-44 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
0.14456 0.60586 5.1396e-13 3.4434e-05 2.1564e-19 3.4481e-17 1.7687e-14 1.7987e-16 8.916e-23 3.7125e-28 1.3238e-58 6.0012e-48 4.3889e-37 5.0487e-30 9.8478e-26 7.6014e-33 1.8215e-28 1.5547e-25 2.6836e-24 4.8306e-25 1.7703e-26 1.0356e-16 5.6832e-10 3.1741e-26 2.2416e-19 6.3552e-24 5.8327e-30 6.0296e-36 1.0452e-31 2.8837e-29 6.9151e-29 9.3606e-38 3.7527e-34 8.6899e-26 9.1036e-20 1.8676e-17 5.4587e-22 2.7176e-28 3.2094e-35 1.1471e-43 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
0.020896 0.60586 5.1396e-13 3.4434e-05 5.6716e-19 9.0692e-17 4.6518e-14 6.8389e-17 3.3899e-23 1.4115e-28 9.1577e-58 4.1515e-47 3.0361e-36 3.4925e-29 6.8124e-25 1.0988e-33 2.6332e-29 2.2474e-26 3.8794e-25 6.9829e-26 1.7703e-26 1.0356e-16 5.6832e-10 8.3484e-26 5.8958e-19 1.6715e-23 1.5341e-29 8.7162e-37 1.511e-32 4.1686e-30 9.9962e-30 1.3531e-38 2.596e-33 6.0115e-25 6.2976e-19 1.2919e-16 3.7762e-21 1.8799e-27 2.2202e-34 7.9354e-43 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
0.0030207 0.60586 5.1396e-13 3.4434e-05 1.4917e-18 2.3853e-16 1.2235e-13 2.6002e-17 1.2889e-23 5.3667e-29 6.3351e-57 2.8719e-46 2.1003e-35 2.416e-28 4.7127e-24 1.5884e-34 3.8064e-30 3.2487e-27 5.6079e-26 1.0094e-26 1.7703e-26 1.0356e-16 5.6832e-10 2.1958e-25 1.5507e-18 4.3964e-23 4.0349e-29 1.26e-37 2.1842e-33 6.026e-31 1.445e-30 1.956e-39 1.7958e-32 4.1586e-24 4.3565e-18 8.9373e-16 2.6123e-20 1.3005e-26 1.5358e-33 5.4895e-42 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
0.00043666 0.60586 5.1396e-13 3.4434e-05 3.9235e-18 6.2738e-16 3.218e-13 9.8861e-18 4.9003e-24 2.0404e-29 4.3824e-56 1.9867e-45 1.4529e-34 1.6714e-27 3.2601e-23 2.2962e-35 5.5024e-31 4.6963e-28 8.1065e-27 1.4592e-27 1.7703e-26 1.0356e-16 5.6832e-10 5.7752e-25 4.0786e-18 1.1563e-22 1.0612e-28 1.8214e-38 3.1574e-34 8.7109e-32 2.0889e-31 2.8276e-40 1.2423e-31 2.8768e-23 3.0137e-17 6.1826e-15 1.8071e-19 8.9964e-26 1.0625e-32 3.7975e-41 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
6.3122e-05 0.60586 5.1396e-13 3.4434e-05 1.0319e-17 1.6501e-15 8.4639e-13 3.7587e-18 1.8631e-24 7.7579e-30 3.0316e-55 1.3743e-44 1.0051e-33 1.1562e-26 2.2552e-22 3.3192e-36 7.954e-32 6.7887e-29 1.1718e-27 2.1094e-28 1.7703e-26 1.0356e-16 5.6832e-10 1.519e-24 1.0727e-17 3.0413e-22 2.7912e-28 2.6329e-39 4.5642e-35 1.2592e-32 3.0196e-32 4.0874e-41 8.5939e-31 1.9901e-22 2.0848e-16 4.277e-14 1.2501e-18 6.2235e-25 7.3498e-32 2.627e-40 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
9.1247e-06 0.60586 5.1396e-13 3.4434e-05 2.7142e-17 4.34e-15 2.2261e-12 1.4291e-18 7.0837e-25 2.9496e-30 2.0972e-54 9.5073e-44 6.953e-33 7.9982e-26 1.5601e-21 4.7982e-37 1.1498e-32 9.8135e-30 1.694e-28 3.0492e-29 1.7703e-26 1.0356e-16 5.6832e-10 3.9951e-24 2.8214e-17 7.999e-22 7.3413e-28 3.8061e-40 6.5978e-36 1.8203e-33 4.365e-33 5.9086e-42 5.945e-30 1.3767e-21 1.4422e-15 2.9587e-13 8.6478e-18 4.3052e-24 5.0844e-31 1.8173e-39 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
1.319e-06 0.60586 5.1396e-13 3.4434e-05 7.1387e-17 1.1415e-14 5.8551e-12 5.4335e-19 2.6933e-25 1.1214e-30 1.4508e-53 6.5769e-43 4.8099e-32 5.533e-25 1.0792e-20 6.9361e-38 1.6621e-33 1.4186e-30 2.4488e-29 4.4078e-30 1.7703e-26 1.0356e-16 5.6832e-10 1.0508e-23 7.4208e-17 2.1039e-21 1.9309e-27 5.5019e-41 9.5375e-37 2.6313e-34 6.3099e-34 8.5413e-43 4.1126e-29 9.5235e-21 9.9768e-15 2.0467e-12 5.9823e-17 2.9782e-23 3.5172e-30 1.2571e-38 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
1.9067e-07 0.60586 5.1396e-13 3.4434e-05 1.8776e-16 3.0023e-14 1.54e-11 2.0658e-19 1.024e-25 4.2638e-31 1.0036e-52 4.5497e-42 3.3274e-31 3.8275e-24 7.4659e-20 1.0027e-38 2.4027e-34 2.0507e-31 3.5398e-30 6.3718e-31 1.7703e-26 1.0356e-16 5.6832e-10 2.7637e-23 1.9518e-16 5.5335e-21 5.0785e-27 7.9533e-42 1.3787e-37 3.8037e-35 9.1213e-35 1.2347e-43 2.845e-28 6.5881e-20 6.9017e-14 1.4159e-11 4.1384e-16 2.0603e-22 2.4331e-29 8.6966e-38 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
2.7563e-08 0.60586 5.1396e-13 3.4434e-05 4.9383e-16 7.8966e-14 4.0504e-11 7.8544e-20 3.8933e-26 1.6211e-31 6.9427e-52 3.1474e-41 2.3018e-30 2.6478e-23 5.1647e-19 1.4494e-39 3.4732e-35 2.9644e-32 5.117e-31 9.2108e-32 1.7703e-26 1.0356e-16 5.6832e-10 7.269e-23 5.1335e-16 1.4554e-20 1.3357e-26 1.1497e-42 1.993e-38 5.4985e-36 1.3185e-35 1.7848e-44 1.9681e-27 4.5575e-19 4.7744e-13 9.7946e-11 2.8628e-15 1.4252e-21 1.6832e-28 6.016e-37 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1461e-12 3.2045e-23 2.3836e-36
3.9844e-09 0.60586 5.1396e-13 3.4434e-05 1.2989e-15 2.0769e-13 1.0653e-10 2.9863e-20 1.4802e-26 6.1637e-32 4.8028e-51 2.1773e-40 1.5923e-29 1.8317e-22 3.5727e-18 2.0952e-40 5.0208e-36 4.2852e-33 7.3971e-32 1.3315e-32 1.7703e-26 1.0356e-16 5.6831e-10 1.9119e-22 1.3502e-15 3.8279e-20 3.5131e-26 1.662e-43 2.881e-39 7.9485e-37 1.9061e-36 2.5801e-45 1.3615e-26 3.1527e-18 3.3028e-12 6.7756e-10 1.9804e-14 9.8592e-21 1.1643e-27 4.1616e-36 0.0094331 0.00026621 4.3119e-09 1.0812e-15 0.00030065 2.1462e-12 3.2045e-23 2.3836e-36
5.7597e-10 0.60586 5.1397e-13 3.4433e-05 3.4162e-15 5.4625e-13 2.8018e-10 1.1354e-20 5.6281e-27 2.3436e-32 3.3224e-50 1.5061e-39 1.1015e-28 1.267e-21 2.4713e-17 3.0287e-41 7.258e-37 6.1948e-34 1.0694e-32 1.9249e-33 1.7703e-26 1.0356e-16 5.683e-10 5.0285e-22 3.5511e-15 1.0068e-19 9.2396e-26 2.4025e-44 4.1648e-40 1.1491e-37 2.7555e-37 3.73e-46 9.4183e-26 2.1809e-17 2.2847e-11 4.6869e-09 1.3699e-13 6.8196e-20 8.0536e-27 2.8785e-35 0.0094331 0.0002662 4.3117e-09 1.0811e-15 0.00030066 2.1462e-12 3.2047e-23 2.3838e-36
8.3261e-11 0.60588 5.1404e-13 3.4429e-05 8.9852e-15 1.4365e-12 7.3671e-10 4.3169e-21 2.1401e-27 8.9128e-33 2.2984e-49 1.0418e-38 7.6174e-28 8.7611e-21 1.7086e-16 4.3782e-42 1.0493e-37 8.9575e-35 1.5465e-33 2.7841e-34 1.7706e-26 1.0356e-16 5.6822e-10 1.3226e-21 9.3387e-15 2.6472e-19 2.4291e-25 3.4729e-45 6.0213e-41 1.6615e-38 3.9849e-38 5.395e-47 6.5153e-25 1.5085e-16 1.58e-10 3.2409e-08 9.4711e-13 4.7143e-19 5.5666e-26 1.9893e-34 0.0094331 0.00026616 4.3105e-09 1.0807e-15 0.0003007 2.1468e-12 3.206e-23 2.3852e-36
1.2036e-11 0.60598 5.1454e-13 3.4396e-05 2.3632e-14 3.7746e-12 1.9339e-09 1.6413e-21 8.1447e-28 3.3952e-33 1.59e-48 7.1996e-38 5.2594e-27 6.0433e-20 1.1775e-15 6.329e-43 1.5183e-38 1.2974e-35 2.242e-34 4.0402e-35 1.7723e-26 1.0356e-16 5.6768e-10 3.4786e-21 2.4539e-14 6.9492e-19 6.3706e-25 5.0203e-46 8.7125e-42 2.4064e-39 5.7771e-39 7.8288e-48 4.5071e-24 1.0425e-15 1.0909e-09 2.2355e-07 6.5267e-12 3.2456e-18 3.8287e-25 1.3669e-33 0.0094331 0.00026591 4.3022e-09 1.0775e-15 0.00030099 2.151e-12 3.2153e-23 2.3944e-36
