$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Mo_{i}^{\times}$ $Mo_{i}^{\bullet}$ $Mo_{i}^{\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mo_{Sn}^{\times}$ $Mo_{Sn}^{\bullet}$ $Mo_{Sn}^{\bullet\bullet}$ $Mo_{Sn}^{'}$ $Mo_{Sn}^{''}$ $Mo_{Sn}^{'''}$ $Mo_{Sn}^{''''}$
1 1.6344 7.5681e-15 6.9525e-17 3.3609e-39 1.973e-43 1.1917e-46 1.1191e-31 1.1976e-35 9.0444e-38 1.831e-118 8.6391e-106 1.0608e-92 3.2228e-87 2.8152e-87 2.7651e-63 6.9161e-46 2.1944e-31 2.848e-20 4.0192e-13 6.8251e-44 5.3623e-33 3.7076e-28 7.2821e-53 8.3383e-48 1.5387e-65 2.9756e-86 1.7398e-69 2.2772e-52 7.5499e-39 1.891e-29 1.5092e-38 4.0998e-103 1.2155e-92 6.6525e-88 9.0514e-92 2.5778e-94 1.9798e-111 6.0154e-128 0.01 1.0425e-09 2.1734e-17 1.0409e-09 1.2409e-22 1.201e-39 2.1033e-59
0.020896 1.6344 7.5738e-15 6.9473e-17 2.325e-38 1.3638e-42 8.2317e-46 1.6177e-32 1.7326e-36 1.3094e-38 8.7623e-117 4.1311e-104 5.069e-91 1.5388e-85 1.3431e-85 5.7781e-65 1.4463e-47 4.5925e-33 5.9648e-22 8.4242e-15 6.8303e-44 5.3623e-33 3.7048e-28 5.0375e-52 5.7638e-47 1.0628e-64 2.0538e-85 3.6357e-71 4.7622e-54 1.58e-40 3.9604e-31 3.1632e-40 1.9619e-101 5.8123e-91 3.1787e-86 4.3218e-90 1.2299e-92 9.4387e-110 2.8657e-126 0.01 1.0418e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2037e-39 2.1097e-59
0.00043666 1.6344 7.5739e-15 6.9471e-17 1.6084e-37 9.4344e-42 5.6943e-45 2.3385e-33 2.5046e-37 1.8929e-39 4.1932e-115 1.9769e-102 2.4257e-89 7.3636e-84 6.4272e-84 1.2074e-66 3.0223e-49 9.5969e-35 1.2465e-23 1.7605e-16 6.8304e-44 5.3623e-33 3.7048e-28 3.4848e-51 3.9872e-46 7.3522e-64 1.4207e-84 7.5973e-73 9.9515e-56 3.3018e-42 8.2763e-33 6.6104e-42 9.3889e-100 2.7814e-89 1.5211e-84 2.0681e-88 5.8852e-91 4.5165e-108 1.3712e-124 0.01 1.0417e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2038e-39 2.1098e-59
9.1247e-06 1.6344 7.5739e-15 6.9471e-17 1.1126e-36 6.5265e-41 3.9392e-44 3.3805e-34 3.6205e-38 2.7363e-40 2.0066e-113 9.4605e-101 1.1608e-87 3.5238e-82 3.0757e-82 2.5231e-68 6.3156e-51 2.0054e-36 2.6047e-25 3.6788e-18 6.8304e-44 5.3623e-33 3.7048e-28 2.4107e-50 2.7582e-45 5.086e-63 9.828e-84 1.5876e-74 2.0795e-57 6.8997e-44 1.7295e-34 1.3813e-43 4.493e-98 1.331e-87 7.2794e-83 9.8967e-87 2.8164e-89 2.1614e-106 6.562e-123 0.01 1.0417e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2038e-39 2.1098e-59
1.9067e-07 1.6344 7.5739e-15 6.9471e-17 7.6969e-36 4.5148e-40 2.725e-43 4.8867e-35 5.2336e-39 3.9555e-41 9.6028e-112 4.5273e-99 5.555e-86 1.6863e-80 1.4719e-80 5.2724e-70 1.3197e-52 4.1906e-38 5.4429e-27 7.6874e-20 6.8304e-44 5.3623e-33 3.7048e-28 1.6677e-49 1.9081e-44 3.5184e-62 6.7987e-83 3.3174e-76 4.3455e-59 1.4418e-45 3.614e-36 2.8865e-45 2.1501e-96 6.3697e-86 3.4835e-81 4.7361e-85 1.3478e-87 1.0343e-104 3.1402e-121 0.01 1.0417e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2038e-39 2.1098e-59
3.9844e-09 1.6344 7.5739e-15 6.9471e-17 5.3245e-35 3.1232e-39 1.8851e-42 7.064e-36 7.5656e-40 5.7179e-42 4.5954e-110 2.1665e-97 2.6583e-84 8.0699e-79 7.0437e-79 1.1017e-71 2.7578e-54 8.757e-40 1.1374e-28 1.6064e-21 6.8304e-44 5.3623e-33 3.7048e-28 1.1536e-48 1.3199e-43 2.4339e-61 4.7032e-82 6.9323e-78 9.0805e-61 3.0128e-47 7.5519e-38 6.0318e-47 1.0289e-94 3.0482e-84 1.667e-79 2.2664e-83 6.4498e-86 4.9498e-103 1.5028e-119 0.01 1.0417e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2038e-39 2.1098e-59
8.3261e-11 1.6344 7.5739e-15 6.9471e-17 3.6833e-34 2.1606e-38 1.3041e-41 1.0212e-36 1.0936e-40 8.2655e-43 2.1991e-108 1.0368e-95 1.2722e-82 3.8618e-77 3.3708e-77 2.3023e-73 5.7628e-56 1.8299e-41 2.3767e-30 3.3568e-23 6.8304e-44 5.3623e-33 3.7048e-28 7.9806e-48 9.131e-43 1.6837e-60 3.2535e-81 1.4486e-79 1.8975e-62 6.2958e-49 1.5781e-39 1.2604e-48 4.924e-93 1.4587e-82 7.9776e-78 1.0846e-81 3.0865e-84 2.3687e-101 7.1914e-118 0.01 1.0417e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2038e-39 2.1098e-59
1.7399e-12 1.6344 7.5739e-15 6.9471e-17 2.548e-33 1.4946e-37 9.0211e-41 1.4761e-37 1.5809e-41 1.1948e-43 1.0524e-106 4.9616e-94 6.0879e-81 1.8481e-75 1.6131e-75 4.8109e-75 1.2042e-57 3.8238e-43 4.9665e-32 7.0145e-25 6.8304e-44 5.3623e-33 3.7048e-28 5.5207e-47 6.3166e-42 1.1648e-59 2.2507e-80 3.0271e-81 3.9651e-64 1.3156e-50 3.2976e-41 2.6339e-50 2.3564e-91 6.9807e-81 3.8177e-76 5.1904e-80 1.4771e-82 1.1335e-99 3.4415e-116 0.01 1.0417e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2038e-39 2.1098e-59
3.6357e-14 1.6344 7.5739e-15 6.9471e-17 1.7627e-32 1.0339e-36 6.2405e-40 2.1338e-38 2.2853e-42 1.7272e-44 5.0362e-105 2.3744e-92 2.9133e-79 8.844e-74 7.7194e-74 1.0053e-76 2.5164e-59 7.9905e-45 1.0378e-33 1.4658e-26 6.8304e-44 5.3623e-33 3.7048e-28 3.8191e-46 4.3696e-41 8.0574e-59 1.557e-79 6.3255e-83 8.2857e-66 2.7491e-52 6.8909e-43 5.5039e-52 1.1276e-89 3.3406e-79 1.827e-74 2.4838e-78 7.0684e-81 5.4246e-98 1.6469e-114 0.01 1.0417e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2038e-39 2.1098e-59
7.5973e-16 1.6344 7.5739e-15 6.9471e-17 1.2194e-31 7.1525e-36 4.317e-39 3.0846e-39 3.3036e-43 2.4968e-45 2.4101e-103 1.1363e-90 1.3942e-77 4.2323e-72 3.6941e-72 2.1007e-78 5.2584e-61 1.6697e-46 2.1687e-35 3.063e-28 6.8304e-44 5.3623e-33 3.7048e-28 2.6419e-45 3.0228e-40 5.5739e-58 1.0771e-78 1.3218e-84 1.7314e-67 5.7447e-54 1.44e-44 1.1501e-53 5.3963e-88 1.5987e-77 8.7429e-73 1.1886e-76 3.3826e-79 2.5959e-96 7.8813e-113 0.01 1.0417e-09 2.1701e-17 1.0417e-09 1.2428e-22 1.2038e-39 2.1098e-59
