$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Nb_{i}^{\times}$ $Nb_{i}^{\bullet}$ $Nb_{i}^{\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Nb_{Sn}^{\times}$ $Nb_{Sn}^{\bullet}$ $Nb_{Sn}^{'}$ $Nb_{Sn}^{''}$ $Nb_{Sn}^{'''}$ $Nb_{Sn}^{''''}$
1 1.729 2.6788e-08 6.6125e-10 8.1987e-20 2.5153e-22 2.4754e-24 4.731e-16 1.2222e-17 2.6526e-18 1.9136e-59 1.6644e-53 2.3355e-47 5.1546e-45 1.9291e-45 5.2584e-32 6.5676e-23 2.9216e-15 2.6285e-09 2.466e-05 9.2268e-22 1.0356e-16 1.0904e-14 1.2068e-26 1.6352e-24 8.8948e-34 1.5663e-44 4.1711e-35 3.7686e-26 5.4191e-19 6.773e-14 4.7785e-18 8.3886e-65 5.1161e-59 6.5056e-55 4.8622e-53 7.3073e-55 2.7466e-57 1.3264e-06 9.8674e-05 5.1361e-11 2.2513e-17 7.8365e-26 2.3554e-36
0.14456 1.7788 4.3353e-08 4.0858e-10 2.1564e-19 4.0878e-22 2.4857e-24 1.7987e-16 7.5208e-18 2.6415e-18 1.3238e-58 7.1145e-53 6.1683e-47 8.4119e-45 1.9452e-45 7.6014e-33 1.5365e-23 1.1062e-15 1.6107e-09 2.4456e-05 1.4933e-21 1.0356e-16 6.7375e-15 3.1741e-26 2.6575e-24 8.9318e-34 9.7181e-45 6.0296e-36 8.8167e-27 2.0518e-19 4.1503e-14 4.7389e-18 9.3152e-64 3.5104e-58 2.7581e-54 1.2737e-52 1.1828e-54 2.747e-57 2.1292e-06 9.7871e-05 1.3343e-10 9.4658e-17 5.3324e-25 2.5939e-35
0.020896 1.8284 7.0076e-08 2.5277e-10 5.6716e-19 6.6516e-22 2.5023e-24 6.8389e-17 4.622e-18 2.624e-18 9.1577e-58 3.0448e-52 1.6332e-46 1.3779e-44 1.9712e-45 1.0988e-33 3.5902e-24 4.1779e-16 9.8329e-10 2.4132e-05 2.4137e-21 1.0356e-16 4.1682e-15 8.3484e-26 4.3242e-24 8.9915e-34 6.0524e-45 8.7162e-37 2.0601e-27 7.7494e-20 2.5337e-14 4.6763e-18 1.0281e-62 2.3969e-57 1.1651e-53 3.3288e-52 1.9124e-54 2.7477e-57 3.3971e-06 9.6603e-05 3.4411e-10 3.9458e-16 3.5929e-24 2.825e-34
0.0030207 1.8779 1.1305e-07 1.5669e-10 1.4917e-18 1.0844e-21 2.5288e-24 2.6002e-17 2.835e-18 2.5965e-18 6.3351e-57 1.3056e-51 4.3411e-46 2.2703e-44 2.0133e-45 1.5884e-34 8.3725e-25 1.5718e-16 5.9679e-10 2.3629e-05 3.8939e-21 1.0356e-16 2.5837e-15 2.1958e-25 7.0499e-24 9.0868e-34 3.7914e-45 1.26e-37 4.8043e-28 2.9155e-20 1.5378e-14 4.5787e-18 1.1239e-61 1.6243e-56 4.8941e-53 8.6673e-52 3.0866e-54 2.749e-57 5.3684e-06 9.4631e-05 8.7728e-10 1.6229e-15 2.3839e-23 3.0239e-33
0.00043666 1.9271 1.8183e-07 9.7413e-11 3.9235e-18 1.7733e-21 2.5709e-24 9.8861e-18 1.7337e-18 2.5541e-18 4.3824e-56 5.6153e-51 1.1607e-45 3.774e-44 2.0807e-45 2.2962e-35 1.9467e-25 5.8784e-17 3.59e-10 2.2863e-05 6.2632e-21 1.0356e-16 1.6063e-15 5.7752e-25 1.1528e-23 9.2378e-34 2.3963e-45 1.8214e-38 1.1171e-28 1.0904e-20 9.2506e-15 4.4303e-18 1.211e-60 1.0881e-55 2.0382e-52 2.2442e-51 4.9686e-54 2.7512e-57 8.3617e-06 9.1636e-05 2.1978e-09 6.5396e-15 1.5452e-22 3.1526e-32
6.3122e-05 1.9757 2.9119e-07 6.0829e-11 1.0319e-17 2.9124e-21 2.6366e-24 3.7587e-18 1.0556e-18 2.4904e-18 3.0316e-55 2.4257e-50 3.131e-45 6.3568e-44 2.1885e-45 3.3192e-36 4.5066e-26 2.1793e-17 2.1314e-10 2.1737e-05 1.003e-20 1.0356e-16 1.0031e-15 1.519e-24 1.8933e-23 9.4739e-34 1.5346e-45 2.6329e-39 2.586e-29 4.0423e-21 5.4921e-15 4.2121e-18 1.2773e-59 7.1664e-55 8.3828e-52 5.7634e-51 7.968e-54 2.7551e-57 1.2749e-05 8.7246e-05 5.3665e-09 2.5571e-14 9.6759e-22 3.1615e-31
9.1247e-06 2.0238 4.6344e-07 3.822e-11 2.7142e-17 4.813e-21 2.7377e-24 1.4291e-18 6.3877e-19 2.3984e-18 2.0972e-54 1.0543e-49 8.5508e-45 1.0908e-43 2.3595e-45 4.7982e-37 1.0368e-26 7.9798e-18 1.2421e-10 2.0161e-05 1.5963e-20 1.0356e-16 6.3024e-16 3.9951e-24 3.1289e-23 9.8372e-34 1.0012e-45 3.8061e-40 5.9495e-30 1.4801e-21 3.2006e-15 3.9067e-18 1.3076e-58 4.6095e-54 3.3878e-51 1.4635e-50 1.2713e-53 2.7619e-57 1.8866e-05 8.1121e-05 1.2639e-08 9.5852e-14 5.7724e-21 3.0017e-30
1.319e-06 2.071 7.3151e-07 2.4214e-11 7.1387e-17 8.0198e-21 2.89e-24 5.4335e-19 3.8335e-19 2.272e-18 1.4508e-53 4.6207e-49 2.3741e-44 1.9187e-43 2.6294e-45 6.9361e-38 2.3658e-27 2.874e-18 7.0613e-11 1.8092e-05 2.5197e-20 1.0356e-16 3.9928e-16 1.0508e-23 5.2136e-23 1.0385e-33 6.696e-46 5.5019e-41 1.3575e-30 5.3309e-22 1.8195e-15 3.5057e-18 1.2871e-57 2.8745e-53 1.3384e-50 3.663e-50 2.0158e-53 2.7745e-57 2.6845e-05 7.3127e-05 2.8387e-08 3.3981e-13 3.2302e-20 2.6514e-29
1.9067e-07 2.1171 1.1428e-06 1.5499e-11 1.8776e-16 1.3502e-20 3.1145e-24 2.0658e-19 2.277e-19 2.1082e-18 1.0036e-52 2.0461e-48 6.7294e-44 3.4813e-43 3.0538e-45 1.0027e-38 5.3427e-28 1.014e-18 3.8919e-11 1.5578e-05 3.9365e-20 1.0356e-16 2.5558e-16 2.7637e-23 8.7775e-23 1.1191e-33 4.619e-46 7.9533e-42 3.0657e-31 1.8808e-22 1.0029e-15 3.0186e-18 1.2082e-56 1.7271e-52 5.1476e-50 9.0178e-50 3.1767e-53 2.7987e-57 3.6426e-05 6.3514e-05 6.0175e-08 1.1253e-12 1.6711e-19 2.1429e-28
2.7563e-08 2.162 1.7636e-06 1.0043e-11 4.9383e-16 2.301e-20 3.4392e-24 7.8544e-20 1.3361e-19 1.9092e-18 6.9427e-52 9.1712e-48 1.9545e-43 6.5513e-43 3.7237e-45 1.4494e-39 1.1919e-28 3.4912e-19 2.0681e-11 1.2775e-05 6.0752e-20 1.0356e-16 1.656e-16 7.269e-23 1.4959e-22 1.2358e-33 3.3049e-46 1.1497e-42 6.8395e-32 6.4757e-23 5.329e-16 2.4755e-18 1.076e-55 9.9668e-52 1.9248e-49 2.1849e-49 4.987e-53 2.8469e-57 4.6896e-05 5.2984e-05 1.1957e-07 3.4508e-12 7.9089e-19 1.5652e-27
