$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Ni_{i}^{\times}$ $Ni_{i}^{\bullet}$ $Ni_{i}^{\bullet\bullet}$ $Ni_{i}^{\bullet\bullet\bullet}$ $Ni_{i}^{\bullet\bullet\bullet\bullet}$ $Ni_{Sn}^{\times}$ $Ni_{Sn}^{'}$ $Ni_{Sn}^{''}$ $Ni_{Sn}^{'''}$ $Ni_{Sn}^{''''}$
1 0.78703 2.9635e-12 5.9762e-06 8.1987e-20 2.2737e-18 2.0226e-16 4.731e-16 1.3522e-21 3.2465e-26 1.9136e-59 1.5045e-49 1.9082e-39 3.807e-33 1.2878e-29 5.2584e-32 7.2658e-27 3.5757e-23 3.559e-21 3.6939e-21 1.0208e-25 1.0356e-16 9.8562e-11 1.2068e-26 1.4781e-20 7.2676e-26 1.1568e-32 4.1711e-35 4.1692e-30 6.6325e-27 9.1706e-26 7.1578e-34 1.2332e-25 1.7882e-19 5.1223e-16 2.3941e-18 1.2879e-23 9.4024e-05 5.9763e-06 3.2123e-11 1.0408e-19 1.3524e-30
0.14456 0.78703 2.9635e-12 5.9762e-06 2.1564e-19 5.9801e-18 5.3197e-16 1.7987e-16 5.141e-22 1.2343e-26 1.3238e-58 1.0408e-48 1.3201e-38 2.6335e-32 8.9089e-29 7.6014e-33 1.0503e-27 5.1689e-24 5.1447e-22 5.3397e-22 1.0208e-25 1.0356e-16 9.8562e-11 3.1741e-26 3.8876e-20 1.9115e-25 3.0425e-32 6.0296e-36 6.0269e-31 9.5876e-28 1.3257e-26 1.0347e-34 8.5308e-25 1.237e-18 3.5434e-15 1.6562e-17 8.9095e-23 9.4024e-05 5.9763e-06 3.2123e-11 1.0408e-19 1.3524e-30
0.020896 0.78703 2.9635e-12 5.9762e-06 5.6716e-19 1.5729e-17 1.3992e-15 6.8389e-17 1.9546e-22 4.6929e-27 9.1577e-58 7.1999e-48 9.1319e-38 1.8218e-31 6.1629e-28 1.0988e-33 1.5183e-28 7.472e-25 7.437e-23 7.7189e-23 1.0208e-25 1.0356e-16 9.8562e-11 8.3484e-26 1.0225e-19 5.0275e-25 8.0022e-32 8.7162e-37 8.7122e-32 1.386e-28 1.9163e-27 1.4957e-35 5.9014e-24 8.5574e-18 2.4513e-14 1.1457e-16 6.1633e-22 9.4024e-05 5.9763e-06 3.2123e-11 1.0408e-19 1.3524e-30
0.0030207 0.78703 2.9635e-12 5.9762e-06 1.4917e-18 4.1369e-17 3.68e-15 2.6002e-17 7.4316e-23 1.7843e-27 6.3351e-57 4.9807e-47 6.3172e-37 1.2603e-30 4.2633e-27 1.5884e-34 2.1948e-29 1.0801e-25 1.0751e-23 1.1158e-23 1.0208e-25 1.0356e-16 9.8562e-11 2.1958e-25 2.6893e-19 1.3223e-24 2.1047e-31 1.26e-37 1.2594e-32 2.0035e-29 2.7702e-28 2.1622e-36 4.0824e-23 5.9198e-17 1.6957e-13 7.9257e-16 4.2636e-21 9.4024e-05 5.9763e-06 3.2123e-11 1.0408e-19 1.3524e-30
0.00043666 0.78703 2.9635e-12 5.9762e-06 3.9235e-18 1.0881e-16 9.679e-15 9.8861e-18 2.8255e-23 6.784e-28 4.3824e-56 3.4455e-46 4.3701e-36 8.7183e-30 2.9493e-26 2.2962e-35 3.1727e-30 1.5614e-26 1.5541e-24 1.613e-24 1.0208e-25 1.0356e-16 9.8562e-11 5.7752e-25 7.0734e-19 3.4779e-24 5.5357e-31 1.8214e-38 1.8206e-33 2.8962e-30 4.0045e-29 3.1256e-37 2.8241e-22 4.0951e-16 1.173e-12 5.4828e-15 2.9495e-20 9.4024e-05 5.9763e-06 3.2123e-11 1.0408e-19 1.3524e-30
6.3122e-05 0.78703 2.9635e-12 5.9762e-06 1.0319e-17 2.8618e-16 2.5457e-14 3.7587e-18 1.0743e-23 2.5793e-28 3.0316e-55 2.3835e-45 3.0231e-35 6.031e-29 2.0402e-25 3.3192e-36 4.5863e-31 2.2571e-27 2.2465e-25 2.3317e-25 1.0208e-25 1.0356e-16 9.8562e-11 1.519e-24 1.8604e-18 9.1474e-24 1.456e-30 2.6329e-39 2.6317e-34 4.1866e-31 5.7888e-30 4.5182e-38 1.9536e-21 2.8329e-15 8.1148e-12 3.7928e-14 2.0403e-19 9.4024e-05 5.9763e-06 3.2123e-11 1.0408e-19 1.3524e-30
9.1247e-06 0.78703 2.9635e-12 5.9762e-06 2.7142e-17 7.5268e-16 6.6955e-14 1.4291e-18 4.0845e-24 9.8068e-29 2.0972e-54 1.6488e-44 2.0913e-34 4.172e-28 1.4113e-24 4.7982e-37 6.6299e-32 3.2628e-28 3.2476e-26 3.3707e-26 1.0208e-25 1.0356e-16 9.8561e-11 3.9951e-24 4.8931e-18 2.4059e-23 3.8293e-30 3.8061e-40 3.8044e-35 6.0521e-32 8.3682e-31 6.5316e-39 1.3515e-20 1.9597e-14 5.6135e-11 2.6237e-13 1.4114e-18 9.4024e-05 5.9763e-06 3.2124e-11 1.0408e-19 1.3525e-30
1.319e-06 0.78704 2.9637e-12 5.9758e-06 7.1387e-17 1.9796e-15 1.7608e-13 5.4335e-19 1.5531e-24 3.729e-29 1.4508e-53 1.1405e-43 1.4465e-33 2.8856e-27 9.7607e-24 6.9361e-38 9.5845e-33 4.7171e-29 4.6954e-27 4.8737e-27 1.0208e-25 1.0356e-16 9.8556e-11 1.0508e-23 1.2869e-17 6.3271e-23 1.007e-29 5.5019e-41 5.4998e-36 8.7497e-33 1.2099e-31 9.444e-40 9.349e-20 1.3556e-13 3.8828e-10 1.8147e-12 9.7613e-18 9.4023e-05 5.9766e-06 3.2128e-11 1.041e-19 1.3528e-30
1.9067e-07 0.78708 2.9649e-12 5.9734e-06 1.8776e-16 5.2044e-15 4.6274e-13 2.0658e-19 5.9072e-25 1.419e-29 1.0036e-52 7.8867e-43 9.9983e-33 1.9937e-26 6.7411e-23 1.0027e-38 1.3861e-33 6.8245e-30 6.7958e-28 7.0568e-28 1.0212e-25 1.0356e-16 9.8515e-11 2.7637e-23 3.3833e-17 1.6627e-22 2.6453e-29 7.9533e-42 7.9535e-37 1.2659e-33 1.7511e-32 1.3674e-40 6.4671e-19 9.3732e-13 2.6837e-09 1.2537e-11 6.7412e-17 9.4018e-05 5.9788e-06 3.2152e-11 1.0422e-19 1.355e-30
2.7563e-08 0.78737 2.9733e-12 5.9565e-06 4.9383e-16 1.365e-14 1.2102e-12 7.8544e-20 2.2523e-25 5.4255e-30 6.9427e-52 5.4404e-42 6.8776e-32 1.3676e-25 4.611e-22 1.4494e-39 2.0093e-34 9.9211e-31 9.9074e-29 1.0317e-28 1.0241e-25 1.0356e-16 9.8237e-11 7.269e-23 8.8736e-17 4.3487e-22 6.8989e-29 1.1497e-42 1.153e-37 1.8402e-34 2.5529e-33 1.9992e-41 4.4723e-18 6.4637e-12 1.8454e-08 8.5971e-11 4.6095e-16 9.3988e-05 5.9937e-06 3.2324e-11 1.0507e-19 1.3699e-30
