$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Pd_{i}^{\times}$ $Pd_{i}^{\bullet}$ $Pd_{i}^{\bullet\bullet}$ $Pd_{i}^{\bullet\bullet\bullet}$ $Pd_{i}^{\bullet\bullet\bullet\bullet}$ $Pd_{Sn}^{\times}$ $Pd_{Sn}^{'}$ $Pd_{Sn}^{''}$ $Pd_{Sn}^{'''}$ $Pd_{Sn}^{''''}$
1 0.92251 7.9367e-21 6.6296e-11 3.3609e-39 1.8813e-37 1.0836e-34 1.1191e-31 1.256e-41 9.947e-50 1.831e-118 8.2378e-100 9.6457e-81 2.7943e-69 2.3275e-63 2.7651e-63 7.253e-52 2.4134e-43 3.2848e-38 4.8615e-37 7.1576e-50 5.3623e-33 3.5354e-22 7.2821e-53 7.9509e-42 1.3991e-53 2.5799e-68 1.7398e-69 2.3882e-58 8.3034e-51 2.181e-47 1.8255e-62 9.256e-57 1.8457e-48 7.9209e-44 7.8822e-48 6.9463e-55 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
0.020896 0.92251 7.9367e-21 6.6296e-11 2.325e-38 1.3015e-36 7.4961e-34 1.6177e-32 1.8156e-42 1.4379e-50 8.7623e-117 3.9422e-98 4.616e-79 1.3372e-67 1.1138e-61 5.7781e-65 1.5156e-53 5.0432e-45 6.864e-40 1.0159e-38 7.1576e-50 5.3623e-33 3.5354e-22 5.0375e-52 5.5002e-41 9.6785e-53 1.7847e-67 3.6357e-71 4.9904e-60 1.7351e-52 4.5575e-49 3.8146e-64 4.4295e-55 8.8324e-47 3.7906e-42 3.772e-46 3.3241e-53 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
0.00043666 0.92251 7.9367e-21 6.6296e-11 1.6084e-37 9.0031e-36 5.1856e-33 2.3385e-33 2.6245e-43 2.0786e-51 4.1932e-115 1.8865e-96 2.209e-77 6.3991e-66 5.3301e-60 1.2074e-66 3.1671e-55 1.0538e-46 1.4343e-41 2.1228e-40 7.1576e-50 5.3623e-33 3.5354e-22 3.4848e-51 3.8049e-40 6.6953e-52 1.2346e-66 7.5973e-73 1.0428e-61 3.6258e-54 9.5236e-51 7.9711e-66 2.1197e-53 4.2268e-45 1.814e-40 1.8051e-44 1.5908e-51 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
9.1247e-06 0.92251 7.9367e-21 6.6296e-11 1.1126e-36 6.2281e-35 3.5872e-32 3.3805e-34 3.7939e-44 3.0047e-52 2.0066e-113 9.028e-95 1.0571e-75 3.0623e-64 2.5507e-58 2.5231e-68 6.6182e-57 2.2022e-48 2.9973e-43 4.436e-42 7.1576e-50 5.3623e-33 3.5354e-22 2.4107e-50 2.6321e-39 4.6317e-51 8.5408e-66 1.5876e-74 2.1791e-63 7.5766e-56 1.9901e-52 1.6657e-67 1.0144e-51 2.0227e-43 8.6807e-39 8.6383e-43 7.6126e-50 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
1.9067e-07 0.92251 7.9367e-21 6.6296e-11 7.6969e-36 4.3085e-34 2.4816e-31 4.8867e-35 5.4844e-45 4.3435e-53 9.6028e-112 4.3204e-93 5.0587e-74 1.4655e-62 1.2206e-56 5.2724e-70 1.383e-58 4.6018e-50 6.2632e-45 9.2697e-44 7.1576e-50 5.3623e-33 3.5354e-22 1.6677e-49 1.8208e-38 3.2041e-50 5.9083e-65 3.3174e-76 4.5536e-65 1.5832e-57 4.1586e-54 3.4807e-69 4.8544e-50 9.6797e-42 4.1542e-37 4.1338e-41 3.643e-48 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
3.9844e-09 0.92251 7.9367e-21 6.6296e-11 5.3245e-35 2.9805e-33 1.7167e-30 7.064e-36 7.928e-46 6.2788e-54 4.5954e-110 2.0675e-91 2.4209e-72 7.013e-61 5.8414e-55 1.1017e-71 2.8899e-60 9.616e-52 1.3088e-46 1.937e-45 7.1576e-50 5.3623e-33 3.5354e-22 1.1536e-48 1.2596e-37 2.2165e-49 4.0872e-64 6.9323e-78 9.5155e-67 3.3084e-59 8.6901e-56 7.2734e-71 2.323e-48 4.6322e-40 1.988e-35 1.9782e-39 1.7433e-46 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
8.3261e-11 0.92251 7.9367e-21 6.6296e-11 3.6833e-34 2.0618e-32 1.1875e-29 1.0212e-36 1.146e-46 9.0764e-55 2.1991e-108 9.894e-90 1.1585e-70 3.356e-59 2.7954e-53 2.3023e-73 6.0389e-62 2.0094e-53 2.7349e-48 4.0477e-47 7.1576e-50 5.3623e-33 3.5354e-22 7.9806e-48 8.7136e-37 1.5333e-48 2.8274e-63 1.4486e-79 1.9884e-68 6.9134e-61 1.8159e-57 1.5199e-72 1.1117e-46 2.2167e-38 9.5134e-34 9.4669e-38 8.3428e-45 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
1.7399e-12 0.92251 7.9367e-21 6.6296e-11 2.548e-33 1.4263e-31 8.2151e-29 1.4761e-37 1.6567e-47 1.312e-55 1.0524e-106 4.7348e-88 5.544e-69 1.606e-57 1.3377e-51 4.8109e-75 1.2619e-63 4.199e-55 5.715e-50 8.4583e-49 7.1576e-50 5.3623e-33 3.5354e-22 5.5207e-47 6.0278e-36 1.0607e-47 1.9559e-62 3.0271e-81 4.1551e-70 1.4447e-62 3.7946e-59 3.176e-74 5.32e-45 1.0608e-36 4.5526e-32 4.5304e-36 3.9924e-43 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
3.6357e-14 0.92251 7.9367e-21 6.6296e-11 1.7627e-32 9.8668e-31 5.683e-28 2.1338e-38 2.3948e-48 1.8966e-56 5.0362e-105 2.2658e-86 2.6531e-67 7.6857e-56 6.4017e-50 1.0053e-76 2.637e-65 8.7744e-57 1.1942e-51 1.7675e-50 7.1576e-50 5.3623e-33 3.5354e-22 3.8191e-46 4.1699e-35 7.3376e-47 1.3531e-61 6.3255e-83 8.6826e-72 3.0188e-64 7.9294e-61 6.6368e-76 2.5459e-43 5.0765e-35 2.1787e-30 2.168e-34 1.9106e-41 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
7.5973e-16 0.92251 7.9367e-21 6.6296e-11 1.2194e-31 6.8256e-30 3.9313e-27 3.0846e-39 3.4619e-49 2.7417e-57 2.4101e-103 1.0843e-84 1.2696e-65 3.678e-54 3.0635e-48 2.1007e-78 5.5103e-67 1.8335e-58 2.4956e-53 3.6934e-52 7.1576e-50 5.3623e-33 3.5354e-22 2.6419e-45 2.8846e-34 5.0759e-46 9.3601e-61 1.3218e-84 1.8144e-73 6.3083e-66 1.657e-62 1.3869e-77 1.2183e-41 2.4294e-33 1.0426e-28 1.0375e-32 9.143e-40 0.01 6.6296e-11 3.5229e-24 8.7063e-42 1.9408e-63
