$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Rh_{i}^{\times}$ $Rh_{i}^{\bullet}$ $Rh_{i}^{\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Rh_{Sn}^{\times}$ $Rh_{Sn}^{\bullet}$ $Rh_{Sn}^{\bullet\bullet}$ $Rh_{Sn}^{'}$ $Rh_{Sn}^{''}$ $Rh_{Sn}^{'''}$ $Rh_{Sn}^{''''}$
1 0.26861 2.5538e-26 2.0566e-05 3.3609e-39 5.847e-32 1.0466e-23 1.1191e-31 4.0413e-47 1.0298e-60 1.831e-118 2.5602e-94 9.3166e-70 8.3879e-53 2.1713e-41 2.7651e-63 2.3338e-57 2.4987e-54 1.0943e-54 5.211e-59 2.3031e-55 5.3623e-33 1.0988e-16 7.2821e-53 2.471e-36 1.3514e-42 7.7445e-52 1.7398e-69 7.6843e-64 8.5967e-62 7.2656e-64 1.9567e-84 1.2238e-65 2.0367e-48 1.2671e-35 8.0889e-23 7.844e-30 4.5351e-40 3.1563e-53 0.0099285 2.5448e-05 5.0152e-12 4.6014e-05 9.3459e-25 2.0988e-50 1.2137e-81
0.020896 0.26861 2.5538e-26 2.0566e-05 2.325e-38 4.0448e-31 7.2403e-23 1.6177e-32 5.8419e-48 1.4887e-61 8.7623e-117 1.2252e-92 4.4585e-68 4.014e-51 1.0391e-39 5.7781e-65 4.8767e-59 5.2213e-56 2.2866e-56 1.0889e-60 2.3031e-55 5.3623e-33 1.0988e-16 5.0375e-52 1.7094e-35 9.3483e-42 5.3574e-51 3.6357e-71 1.6057e-65 1.7964e-63 1.5183e-65 4.0888e-86 5.8566e-64 9.7466e-47 6.0635e-34 3.8709e-21 3.7538e-28 2.1703e-38 1.5105e-51 0.0099285 2.5448e-05 5.0152e-12 4.6014e-05 9.3459e-25 2.0988e-50 1.2137e-81
0.00043666 0.26861 2.5538e-26 2.0566e-05 1.6084e-37 2.7981e-30 5.0087e-22 2.3385e-33 8.4448e-49 2.152e-62 4.1932e-115 5.8631e-91 2.1336e-66 1.9209e-49 4.9726e-38 1.2074e-66 1.0191e-60 1.0911e-57 4.7782e-58 2.2755e-62 2.3031e-55 5.3623e-33 1.0988e-16 3.4848e-51 1.1825e-34 6.4669e-41 3.7061e-50 7.5973e-73 3.3554e-67 3.7539e-65 3.1726e-67 8.5442e-88 2.8027e-62 4.6642e-45 2.9017e-32 1.8524e-19 1.7964e-26 1.0386e-36 7.2283e-50 0.0099285 2.5448e-05 5.0152e-12 4.6014e-05 9.3459e-25 2.0988e-50 1.2137e-81
9.1247e-06 0.26861 2.5538e-26 2.0566e-05 1.1126e-36 1.9356e-29 3.4648e-21 3.3805e-34 1.2208e-49 3.1109e-63 2.0066e-113 2.8058e-89 1.021e-64 9.1925e-48 2.3796e-36 2.5231e-68 2.1295e-62 2.28e-59 9.9848e-60 4.7549e-64 2.3031e-55 5.3623e-33 1.0988e-16 2.4107e-50 8.1803e-34 4.4736e-40 2.5638e-49 1.5876e-74 7.0117e-69 7.8442e-67 6.6297e-69 1.7854e-89 1.3412e-60 2.2321e-43 1.3886e-30 8.8648e-18 8.5965e-25 4.9701e-35 3.4591e-48 0.0099285 2.5448e-05 5.0152e-12 4.6014e-05 9.3459e-25 2.0988e-50 1.2137e-81
1.9067e-07 0.26861 2.5538e-26 2.0566e-05 7.6969e-36 1.339e-28 2.3969e-20 4.8867e-35 1.7647e-50 4.4969e-64 9.6028e-112 1.3427e-87 4.8861e-63 4.3991e-46 1.1388e-34 5.2724e-70 4.4499e-64 4.7643e-61 2.0865e-61 9.9361e-66 2.3031e-55 5.3623e-33 1.0988e-16 1.6677e-49 5.6589e-33 3.0947e-39 1.7736e-48 3.3174e-76 1.4652e-70 1.6392e-68 1.3854e-70 3.7309e-91 6.4184e-59 1.0681e-41 6.6451e-29 4.2423e-16 4.1138e-23 2.3784e-33 1.6553e-46 0.0099285 2.5448e-05 5.0152e-12 4.6014e-05 9.3459e-25 2.0988e-50 1.2137e-81
3.9844e-09 0.26861 2.5538e-26 2.0566e-05 5.3245e-35 9.2629e-28 1.6581e-19 7.064e-36 2.5509e-51 6.5006e-65 4.5954e-110 6.4255e-86 2.3383e-61 2.1052e-44 5.4495e-33 1.1017e-71 9.2987e-66 9.9557e-63 4.36e-63 2.0763e-67 2.3031e-55 5.3623e-33 1.0988e-16 1.1536e-48 3.9147e-32 2.1408e-38 1.2269e-47 6.9323e-78 3.0618e-72 3.4253e-70 2.8949e-72 7.7963e-93 3.0715e-57 5.1116e-40 3.18e-27 2.0301e-14 1.9687e-21 1.1382e-31 7.9216e-45 0.0099285 2.5448e-05 5.0152e-12 4.6014e-05 9.3459e-25 2.0988e-50 1.2137e-81
8.3261e-11 0.26861 2.5538e-26 2.0566e-05 3.6833e-34 6.4078e-27 1.147e-18 1.0212e-36 3.6875e-52 9.397e-66 2.1991e-108 3.0749e-84 1.119e-59 1.0074e-42 2.6079e-31 2.3023e-73 1.9431e-67 2.0804e-64 9.1109e-65 4.3387e-69 2.3031e-55 5.3623e-33 1.0988e-16 7.9806e-48 2.7081e-31 1.481e-37 8.4874e-47 1.4486e-79 6.398e-74 7.1577e-72 6.0494e-74 1.6292e-94 1.4699e-55 2.4462e-38 1.5218e-25 9.7152e-13 9.4211e-20 5.4469e-30 3.7909e-43 0.0099285 2.5448e-05 5.0152e-12 4.6014e-05 9.3459e-25 2.0988e-50 1.2137e-81
1.7399e-12 0.26861 2.5538e-26 2.0566e-05 2.548e-33 4.4327e-26 7.9348e-18 1.4761e-37 5.3306e-53 1.3584e-66 1.0524e-106 1.4715e-82 5.3548e-58 4.821e-41 1.248e-29 4.8109e-75 4.0604e-69 4.3473e-66 1.9039e-66 9.0665e-71 2.3031e-55 5.3623e-33 1.0988e-16 5.5207e-47 1.8734e-30 1.0245e-36 5.8713e-46 3.0271e-81 1.337e-75 1.4957e-73 1.2641e-75 3.4044e-96 7.0341e-54 1.1706e-36 7.2825e-24 4.6492e-11 4.5084e-18 2.6066e-28 1.8141e-41 0.0099285 2.5448e-05 5.0152e-12 4.6014e-05 9.346e-25 2.0988e-50 1.2137e-81
3.6357e-14 0.26862 2.5539e-26 2.0565e-05 1.7627e-32 3.0662e-25 5.4883e-17 2.1338e-38 7.7062e-54 1.9639e-67 5.0362e-105 7.0414e-81 2.5622e-56 2.3066e-39 5.9706e-28 1.0053e-76 8.4854e-71 9.0857e-68 3.9793e-68 1.8951e-72 2.3032e-55 5.3623e-33 1.0987e-16 3.8191e-46 1.2959e-29 7.0862e-36 4.0607e-45 6.3255e-83 2.794e-77 3.1259e-75 2.6421e-77 7.116e-98 3.3662e-52 5.6015e-35 3.4846e-22 2.2244e-09 2.1569e-16 1.2469e-26 8.6777e-40 0.0099285 2.5446e-05 5.0145e-12 4.6017e-05 9.3473e-25 2.0992e-50 1.2141e-81
7.5973e-16 0.26879 2.5626e-26 2.0496e-05 1.2194e-31 2.114e-24 3.7712e-16 3.0846e-39 1.1177e-54 2.8582e-68 2.4101e-103 3.3583e-79 1.2179e-54 1.0927e-37 2.819e-26 2.1007e-78 1.7791e-72 1.9114e-69 8.3996e-70 4.0138e-74 2.311e-55 5.3623e-33 1.095e-16 2.6419e-45 8.9342e-29 4.8691e-35 2.7809e-44 1.3218e-84 5.8581e-79 6.5762e-77 5.5771e-79 1.5072e-99 1.6109e-50 2.6716e-33 1.6563e-20 1.0538e-07 1.0184e-14 5.8676e-25 4.0697e-38 0.0099285 2.536e-05 4.9808e-12 4.6172e-05 9.4104e-25 2.1205e-50 1.2305e-81
1.5876e-17 0.27465 2.8702e-26 1.8302e-05 8.4352e-31 1.3057e-23 2.0795e-15 4.459e-40 1.8098e-55 5.1833e-69 1.1533e-101 1.4348e-77 4.6457e-53 3.7215e-36 8.5714e-25 4.3898e-80 4.1641e-74 5.0108e-71 2.4664e-71 1.3201e-75 2.5885e-55 5.3623e-33 9.7761e-17 1.8276e-44 5.518e-28 2.6849e-34 1.3691e-43 2.7621e-86 1.3711e-80 1.724e-78 1.6376e-80 4.9568e-101 7.7066e-49 1.1411e-31 6.3164e-19 3.5878e-06 3.0956e-13 1.5924e-23 9.8607e-37 0.0099257 2.2636e-05 3.9691e-12 5.1701e-05 1.1802e-24 2.9788e-50 1.9361e-81
3.3175e-19 0.30761 5.4291e-26 9.6833e-06 5.8352e-30 4.7751e-23 4.0207e-15 6.4457e-41 4.9484e-56 2.6808e-69 5.5193e-100 3.6301e-76 6.2138e-52 2.6315e-35 3.2043e-24 9.1732e-82 1.6459e-75 3.7463e-72 3.4879e-72 3.5312e-76 4.8961e-55 5.3623e-33 5.1684e-17 1.2643e-43 2.018e-27 5.1912e-34 1.3994e-43 5.7719e-88 5.4195e-82 1.2889e-79 2.3159e-81 1.3259e-101 3.675e-47 2.8768e-30 8.4185e-18 2.528e-05 1.1531e-12 3.136e-23 1.0267e-36 0.0098906 1.1925e-05 1.1054e-12 9.7449e-05 4.2078e-24 2.0088e-49 2.4697e-80
6.9323e-21 0.35484 1.3535e-25 3.8861e-06 4.0367e-29 1.325e-22 4.475e-15 9.3177e-42 1.7834e-56 2.4086e-69 2.6413e-98 6.9681e-75 4.7843e-51 8.127e-35 3.9694e-24 1.9169e-83 8.5746e-77 4.8657e-73 1.1294e-72 2.8505e-76 1.2206e-54 5.3623e-33 2.0731e-17 8.7461e-43 5.5996e-27 5.7779e-34 6.2476e-44 1.2061e-89 2.8233e-83 1.6741e-80 7.4988e-82 1.0704e-101 1.7347e-45 5.4467e-29 6.3933e-17 7.7009e-05 1.409e-12 1.537e-23 2.0183e-37 0.0097557 4.7178e-06 1.7543e-13 0.00023963 2.5796e-23 3.0703e-48 9.4104e-79
1.4486e-22 0.40444 3.5323e-25 1.4894e-06 2.7924e-28 3.5122e-22 4.5453e-15 1.3469e-42 6.7278e-57 2.3714e-69 1.264e-96 1.2777e-73 3.3617e-50 2.1881e-34 4.0951e-24 4.0056e-85 4.6761e-78 6.9249e-74 4.1947e-73 2.763e-76 3.1855e-54 5.3623e-33 7.9438e-18 6.0503e-42 1.4843e-26 5.8687e-34 2.4316e-44 2.5204e-91 1.5397e-84 2.3825e-81 2.7852e-82 1.0375e-101 7.9951e-44 9.6194e-28 4.3266e-16 0.00019969 1.4e-12 5.852e-24 2.9446e-38 0.0093959 1.7411e-06 2.4808e-14 0.00060231 1.6921e-22 5.2559e-47 4.2041e-77
3.0271e-24 0.45438 9.2799e-25 5.6697e-07 1.9317e-27 9.2481e-22 4.5557e-15 1.9471e-43 2.555e-57 2.366e-69 6.0487e-95 2.3275e-72 2.3308e-49 5.7748e-34 4.1139e-24 8.3703e-87 2.5671e-79 9.9875e-75 1.5894e-73 2.7504e-76 8.3689e-54 5.3623e-33 3.0237e-18 4.1854e-41 3.9084e-26 5.8821e-34 9.2767e-45 5.2667e-93 8.4526e-86 3.4362e-82 1.0553e-82 1.0328e-101 3.4849e-42 1.596e-26 2.7324e-15 0.00048003 1.281e-12 2.0382e-24 3.9037e-39 0.0085581 6.0365e-07 3.2738e-15 0.0014413 1.0638e-21 8.6805e-46 1.8241e-75
6.3256e-26 0.50437 2.4403e-24 2.1561e-07 1.3363e-26 2.4328e-21 4.5573e-15 2.8146e-44 9.7126e-58 2.3652e-69 2.8946e-93 4.2355e-71 1.6129e-48 1.5197e-33 4.1167e-24 1.7491e-88 1.4107e-80 1.4433e-75 6.0399e-74 2.7485e-76 2.2008e-53 5.3623e-33 1.1498e-18 2.8954e-40 1.0282e-25 5.8841e-34 3.5289e-45 1.1006e-94 4.6449e-87 4.9656e-83 4.0103e-83 1.0321e-101 1.3505e-40 2.352e-25 1.5312e-14 0.001023 1.0381e-12 6.2808e-25 4.5745e-40 0.0069305 1.8589e-07 3.8338e-16 0.0030693 5.9572e-21 1.2784e-44 7.0644e-74
1.3218e-27 0.55437 6.4183e-24 8.1979e-08 9.2443e-26 6.3989e-21 4.5575e-15 4.0687e-45 3.6927e-58 2.365e-69 1.3852e-91 7.7066e-70 1.1158e-47 3.9972e-33 4.1171e-24 3.655e-90 7.753e-82 2.0862e-76 2.2962e-74 2.7483e-76 5.7882e-53 5.3623e-33 4.3718e-19 2.0029e-39 2.7043e-25 5.8844e-34 1.3418e-45 2.2998e-96 2.5528e-88 7.1777e-84 1.5246e-83 1.0319e-101 4.3077e-39 2.8524e-24 7.0606e-14 0.0017935 6.92e-13 1.5919e-25 4.4083e-41 0.0046194 4.711e-08 3.6941e-17 0.0053806 2.7466e-20 1.5502e-43 2.2531e-72
2.7621e-29 0.60437 1.6881e-23 3.1169e-08 6.395e-25 1.683e-20 4.5576e-15 5.8816e-46 1.404e-58 2.365e-69 6.6289e-90 1.4022e-68 7.7192e-47 1.0514e-32 4.1172e-24 7.6377e-92 4.2611e-83 3.0157e-77 8.7302e-75 2.7482e-76 1.5224e-52 5.3623e-33 1.6622e-19 1.3856e-38 7.1127e-25 5.8845e-34 5.1017e-46 4.8057e-98 1.403e-89 1.0376e-84 5.7966e-84 1.0319e-101 1.0982e-37 2.7648e-23 2.6021e-13 0.002513 3.6866e-13 3.2244e-26 3.3949e-42 0.0024609 9.542e-09 2.8449e-18 0.0075391 1.0122e-19 1.5026e-42 5.7438e-71
5.7719e-31 0.65437 4.44e-23 1.1851e-08 4.4239e-24 4.4266e-20 4.5576e-15 8.5022e-47 5.338e-59 2.365e-69 3.1723e-88 2.5513e-67 5.3399e-46 2.7652e-32 4.1172e-24 1.596e-93 2.3419e-84 4.3594e-78 3.3193e-75 2.7482e-76 4.0041e-52 5.3623e-33 6.3198e-20 9.5851e-38 1.8708e-24 5.8845e-34 1.9397e-46 1.0042e-99 7.7112e-91 1.4999e-85 2.2039e-84 1.0319e-101 2.3578e-36 2.2569e-22 8.0757e-13 0.0029653 1.6539e-13 5.5e-27 2.2017e-43 0.001104 1.6276e-09 1.845e-19 0.008896 3.1414e-19 1.2265e-41 1.2332e-69
