$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Ti_{i}^{\times}$ $Ti_{i}^{\bullet}$ $Ti_{i}^{\bullet\bullet}$ $Ti_{i}^{\bullet\bullet\bullet}$ $Ti_{i}^{\bullet\bullet\bullet\bullet}$ $Ti_{Sn}^{\times}$ $Ti_{Sn}^{'}$ $Ti_{Sn}^{''}$ $Ti_{Sn}^{'''}$ $Ti_{Sn}^{''''}$
1 1.2233 2.0138e-10 8.7959e-08 8.1987e-20 3.3459e-20 4.3801e-20 4.731e-16 9.1884e-20 1.4991e-22 1.9136e-59 2.2141e-51 4.1325e-43 1.2132e-38 6.0398e-37 5.2584e-32 4.9373e-25 1.6511e-19 1.1167e-15 7.8763e-14 6.9364e-24 1.0356e-16 1.4504e-12 1.2068e-26 2.1752e-22 1.5739e-29 3.6865e-38 4.1711e-35 2.8331e-28 3.0626e-23 2.8776e-20 1.5262e-26 4.0342e-54 9.4003e-47 8.5971e-42 2.2927e-39 4.1772e-38 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
0.14456 1.2233 2.0138e-10 8.7959e-08 2.1564e-19 8.8003e-20 1.152e-19 1.7987e-16 3.4935e-20 5.6997e-23 1.3238e-58 1.5316e-50 2.8588e-42 8.3928e-38 4.1781e-36 7.6014e-33 7.1372e-26 2.3868e-20 1.6143e-16 1.1386e-14 6.9364e-24 1.0356e-16 1.4504e-12 3.1741e-26 5.721e-22 4.1395e-29 9.6961e-38 6.0296e-36 4.0955e-29 4.4272e-24 4.1598e-21 2.2063e-27 2.7907e-53 6.5029e-46 5.9472e-41 1.586e-38 2.8896e-37 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
0.020896 1.2233 2.0138e-10 8.7959e-08 5.6716e-19 2.3146e-19 3.03e-19 6.8389e-17 1.3282e-20 2.167e-23 9.1577e-58 1.0595e-49 1.9776e-41 5.8059e-37 2.8903e-35 1.0988e-33 1.0317e-26 3.4503e-21 2.3336e-17 1.6459e-15 6.9364e-24 1.0356e-16 1.4504e-12 8.3484e-26 1.5047e-21 1.0888e-28 2.5502e-37 8.7162e-37 5.9203e-30 6.3998e-25 6.0132e-22 3.1893e-28 1.9306e-52 4.4985e-45 4.1141e-40 1.0971e-37 1.999e-36 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
0.0030207 1.2233 2.0138e-10 8.7959e-08 1.4917e-18 6.0878e-19 7.9694e-19 2.6002e-17 5.05e-21 8.2392e-24 6.3351e-57 7.3295e-49 1.3681e-40 4.0164e-36 1.9994e-34 1.5884e-34 1.4914e-27 4.9876e-22 3.3734e-18 2.3792e-16 6.9364e-24 1.0356e-16 1.4504e-12 2.1958e-25 3.9576e-21 2.8636e-28 6.7075e-37 1.26e-37 8.5581e-31 9.2514e-26 8.6925e-23 4.6104e-29 1.3355e-51 3.1119e-44 2.846e-39 7.5897e-37 1.3828e-35 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
0.00043666 1.2233 2.0138e-10 8.7959e-08 3.9235e-18 1.6012e-18 2.0961e-18 9.8861e-18 1.9201e-21 3.1326e-24 4.3824e-56 5.0704e-48 9.4638e-40 2.7784e-35 1.3832e-33 2.2962e-35 2.156e-28 7.2099e-23 4.8765e-19 3.4393e-17 6.9364e-24 1.0356e-16 1.4504e-12 5.7752e-25 1.0409e-20 7.5317e-28 1.7642e-36 1.8214e-38 1.2371e-31 1.3373e-26 1.2565e-23 6.6646e-30 9.2387e-51 2.1528e-43 1.9688e-38 5.2504e-36 9.5661e-35 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
6.3122e-05 1.2233 2.0138e-10 8.7959e-08 1.0319e-17 4.2114e-18 5.513e-18 3.7587e-18 7.3001e-22 1.191e-24 3.0316e-55 3.5075e-47 6.5468e-39 1.922e-34 9.5683e-33 3.3192e-36 3.1166e-29 1.0422e-23 7.0492e-20 4.9717e-18 6.9364e-24 1.0356e-16 1.4504e-12 1.519e-24 2.7378e-20 1.981e-27 4.6401e-36 2.6329e-39 1.7883e-32 1.9332e-27 1.8164e-24 9.634e-31 6.3911e-50 1.4892e-42 1.362e-37 3.6321e-35 6.6176e-34 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
9.1247e-06 1.2233 2.0138e-10 8.7959e-08 2.7142e-17 1.1077e-17 1.45e-17 1.4291e-18 2.7756e-22 4.5284e-25 2.0972e-54 2.4264e-46 4.5289e-38 1.3296e-33 6.6191e-32 4.7982e-37 4.5052e-30 1.5066e-24 1.019e-20 7.1869e-19 6.9364e-24 1.0356e-16 1.4504e-12 3.9951e-24 7.2008e-20 5.2102e-27 1.2204e-35 3.8061e-40 2.5852e-33 2.7946e-28 2.6257e-25 1.3927e-31 4.4212e-49 1.0302e-41 9.4218e-37 2.5126e-34 4.5778e-33 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
1.319e-06 1.2233 2.0138e-10 8.7959e-08 7.1387e-17 2.9133e-17 3.8138e-17 5.4335e-19 1.0553e-22 1.7217e-25 1.4508e-53 1.6785e-45 3.133e-37 9.1979e-33 4.5789e-31 6.9361e-38 6.5125e-31 2.1779e-25 1.473e-21 1.0389e-19 6.9364e-24 1.0356e-16 1.4504e-12 1.0508e-23 1.8939e-19 1.3704e-26 3.2099e-35 5.5019e-41 3.737e-34 4.0397e-29 3.7957e-26 2.0132e-32 3.0584e-48 7.1266e-41 6.5177e-36 1.7381e-33 3.1668e-32 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
1.9067e-07 1.2233 2.0138e-10 8.7959e-08 1.8776e-16 7.6624e-17 1.0031e-16 2.0658e-19 4.0122e-23 6.546e-26 1.0036e-52 1.1612e-44 2.1673e-36 6.3628e-32 3.1675e-30 1.0027e-38 9.4143e-32 3.1483e-26 2.1294e-22 1.5018e-20 6.9364e-24 1.0356e-16 1.4504e-12 2.7637e-23 4.9813e-19 3.6043e-26 8.4425e-35 7.9533e-42 5.4021e-35 5.8397e-30 5.4869e-27 2.9102e-33 2.1157e-47 4.93e-40 4.5088e-35 1.2024e-32 2.1907e-31 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
2.7563e-08 1.2233 2.0138e-10 8.7959e-08 4.9383e-16 2.0153e-16 2.6383e-16 7.8544e-20 1.5255e-23 2.4888e-26 6.9427e-52 8.0326e-44 1.4993e-35 4.4016e-31 2.1912e-29 1.4494e-39 1.3609e-32 4.5511e-27 3.0781e-23 2.171e-21 6.9364e-24 1.0356e-16 1.4504e-12 7.269e-23 1.3102e-18 9.4799e-26 2.2205e-34 1.1497e-42 7.809e-36 8.4416e-31 7.9316e-28 4.2068e-34 1.4636e-46 3.4105e-39 3.119e-34 8.3178e-32 1.5155e-30 0.0099999 8.7759e-08 1.2792e-15 1.7188e-25 2.209e-37
