$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $V_{i}^{\times}$ $V_{i}^{\bullet}$ $V_{i}^{\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{\bullet}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
1 1.3913 1.022e-09 1.7332e-08 8.1987e-20 6.5931e-21 1.7007e-21 4.731e-16 4.663e-19 3.8608e-21 1.9136e-59 4.3628e-52 1.6046e-44 9.2827e-41 9.1059e-40 5.2584e-32 2.5056e-24 4.2524e-18 1.4596e-13 5.2242e-11 3.5201e-23 1.0356e-16 2.8581e-13 1.2068e-26 4.2861e-23 6.1111e-31 2.8206e-40 4.1711e-35 1.4378e-27 7.8875e-22 3.761e-18 1.0123e-23 7.4192e-48 3.0774e-41 1.0216e-36 9.0038e-35 2.877e-39 7.6324e-46 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
0.14456 1.3913 1.022e-09 1.7332e-08 2.1564e-19 1.7341e-20 4.4732e-21 1.7987e-16 1.7729e-19 1.4679e-21 1.3238e-58 3.0181e-51 1.11e-43 6.4215e-40 6.2992e-39 7.6014e-33 3.622e-25 6.1471e-19 2.1099e-14 7.5518e-12 3.5201e-23 1.0356e-16 2.8581e-13 3.1741e-26 1.1273e-22 1.6073e-30 7.4187e-40 6.0296e-36 2.0784e-28 1.1402e-22 5.4367e-19 1.4634e-24 5.1324e-47 2.1289e-40 7.0675e-36 6.2286e-34 1.9902e-38 5.2798e-45 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
0.020896 1.3913 1.022e-09 1.7332e-08 5.6716e-19 4.5609e-20 1.1765e-20 6.8389e-17 6.7406e-20 5.581e-22 9.1577e-58 2.0878e-50 7.6788e-43 4.4422e-39 4.3576e-38 1.0988e-33 5.2359e-26 8.8859e-20 3.05e-15 1.0917e-12 3.5201e-23 1.0356e-16 2.8581e-13 8.3484e-26 2.965e-22 4.2275e-30 1.9512e-39 8.7162e-37 3.0044e-29 1.6482e-23 7.8591e-20 2.1154e-25 3.5505e-46 1.4727e-39 4.8891e-35 4.3088e-33 1.3768e-37 3.6525e-44 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
0.0030207 1.3913 1.022e-09 1.7332e-08 1.4917e-18 1.1996e-19 3.0944e-20 2.6002e-17 2.5628e-20 2.1219e-22 6.3351e-57 1.4443e-49 5.312e-42 3.073e-38 3.0145e-37 1.5884e-34 7.5688e-27 1.2845e-20 4.409e-16 1.5781e-13 3.5201e-23 1.0356e-16 2.8581e-13 2.1958e-25 7.7985e-22 1.1119e-29 5.1321e-39 1.26e-37 4.3431e-30 2.3826e-24 1.1361e-20 3.0579e-26 2.4561e-45 1.0188e-38 3.3821e-34 2.9807e-32 9.5243e-37 2.5267e-43 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
0.00043666 1.3913 1.022e-09 1.7332e-08 3.9235e-18 3.1551e-19 8.1388e-20 9.8861e-18 9.744e-21 8.0677e-23 4.3824e-56 9.9912e-49 3.6747e-41 2.1258e-37 2.0853e-36 2.2962e-35 1.0941e-27 1.8569e-21 6.3734e-17 2.2812e-14 3.5201e-23 1.0356e-16 2.8581e-13 5.7752e-25 2.0511e-21 2.9245e-29 1.3498e-38 1.8214e-38 6.2782e-31 3.4442e-25 1.6423e-21 4.4204e-27 1.6991e-44 7.0475e-38 2.3397e-33 2.062e-31 6.5887e-36 1.7479e-42 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
6.3122e-05 1.3913 1.022e-09 1.7332e-08 1.0319e-17 8.2985e-19 2.1406e-19 3.7587e-18 3.7047e-21 3.0674e-23 3.0316e-55 6.9116e-48 2.542e-40 1.4706e-36 1.4426e-35 3.3192e-36 1.5816e-28 2.6842e-22 9.2132e-18 3.2976e-15 3.5201e-23 1.0356e-16 2.8581e-13 1.519e-24 5.3948e-21 7.6918e-29 3.5502e-38 2.6329e-39 9.0756e-32 4.9788e-26 2.374e-22 6.39e-28 1.1754e-43 4.8753e-37 1.6185e-32 1.4264e-30 4.5579e-35 1.2091e-41 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
9.1247e-06 1.3913 1.022e-09 1.7332e-08 2.7142e-17 2.1826e-18 5.6302e-19 1.4291e-18 1.4086e-21 1.1662e-23 2.0972e-54 4.7813e-47 1.7585e-39 1.0173e-35 9.9794e-35 4.7982e-37 2.2863e-29 3.8802e-23 1.3318e-18 4.7669e-16 3.5201e-23 1.0356e-16 2.8581e-13 3.9951e-24 1.4189e-20 2.0231e-28 9.3376e-38 3.8061e-40 1.3119e-32 7.1972e-27 3.4318e-23 9.2371e-29 8.1309e-43 3.3726e-36 1.1196e-31 9.8675e-30 3.153e-34 8.3645e-41 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
1.319e-06 1.3913 1.022e-09 1.7332e-08 7.1387e-17 5.7407e-18 1.4808e-18 5.4335e-19 5.3554e-22 4.4341e-24 1.4508e-53 3.3076e-46 1.2165e-38 7.0375e-35 6.9035e-34 6.9361e-38 3.305e-30 5.609e-24 1.9252e-19 6.8909e-17 3.5201e-23 1.0356e-16 2.8581e-13 1.0508e-23 3.732e-20 5.321e-28 2.4559e-37 5.5019e-41 1.8965e-33 1.0404e-27 4.9609e-24 1.3353e-29 5.6247e-42 2.3331e-35 7.7454e-31 6.826e-29 2.1812e-33 5.7863e-40 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
1.9067e-07 1.3913 1.022e-09 1.7332e-08 1.8776e-16 1.5099e-17 3.8948e-18 2.0658e-19 2.0361e-22 1.6859e-24 1.0036e-52 2.2881e-45 8.4154e-38 4.8684e-34 4.7756e-33 1.0027e-38 4.7776e-31 8.1082e-25 2.783e-20 9.9612e-18 3.5201e-23 1.0356e-16 2.8581e-13 2.7637e-23 9.8157e-20 1.3995e-27 6.4595e-37 7.9533e-42 2.7415e-34 1.504e-28 7.1712e-25 1.9302e-30 3.891e-41 1.614e-34 5.3581e-30 4.7221e-28 1.5089e-32 4.0028e-39 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
2.7563e-08 1.3913 1.022e-09 1.7332e-08 4.9383e-16 3.9712e-17 1.0244e-17 7.8544e-20 7.7415e-23 6.4098e-25 6.9427e-52 1.5828e-44 5.8215e-37 3.3678e-33 3.3036e-32 1.4494e-39 6.9063e-32 1.1721e-25 4.0231e-21 1.4399e-18 3.5201e-23 1.0356e-16 2.8581e-13 7.269e-23 2.5817e-19 3.6809e-27 1.699e-36 1.1497e-42 3.963e-35 2.1741e-29 1.0366e-25 2.7903e-31 2.6917e-40 1.1165e-33 3.7066e-29 3.2666e-27 1.0438e-31 2.769e-38 0.0095153 0.00024233 0.00024235 1.2707e-09 1.1249e-17 1.4769e-28
