$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $W_{i}^{\times}$ $W_{i}^{\bullet}$ $W_{i}^{\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $W_{Sn}^{\times}$ $W_{Sn}^{\bullet}$ $W_{Sn}^{\bullet\bullet}$ $W_{Sn}^{'}$ $W_{Sn}^{''}$ $W_{Sn}^{'''}$ $W_{Sn}^{''''}$
1 1.924 2.049e-12 2.568e-19 3.3609e-39 7.2874e-46 1.6258e-51 1.1191e-31 3.2425e-33 6.6296e-33 1.831e-118 3.1909e-108 1.4472e-97 1.624e-94 5.2395e-97 2.7651e-63 1.8725e-43 1.6085e-26 5.6519e-13 0.0021595 1.8478e-41 5.3623e-33 1.3694e-30 7.2821e-53 3.0798e-50 2.0992e-70 1.4994e-93 1.7398e-69 6.1654e-50 5.5341e-34 3.7527e-22 8.1088e-29 5.0507e-117 1.0815e-108 6.359e-104 1.6629e-103 1.0729e-108 4.1742e-119 3.7478e-133 0.0013619 0.0086381 2.0542e-09 1.1231e-09 5.2372e-20 9.7757e-35 1.8476e-53
0.020896 1.9715 5.143e-12 1.0231e-19 2.325e-38 2.0084e-45 1.7852e-51 1.6177e-32 1.1765e-33 6.0378e-33 8.7623e-117 6.0837e-107 1.0993e-96 4.9145e-94 6.3171e-97 5.7781e-65 9.8212e-45 2.1176e-27 1.8677e-13 0.0017912 4.6381e-41 5.3623e-33 5.4559e-31 5.0375e-52 8.4881e-50 2.305e-70 6.5592e-94 3.6357e-71 3.2338e-51 7.2857e-35 1.2401e-22 6.7257e-29 5.0319e-115 4.2927e-107 1.0056e-102 1.0476e-102 2.6929e-108 4.1742e-119 1.4932e-133 0.0028353 0.0071647 6.7881e-10 5.8688e-09 6.8692e-19 3.2183e-33 1.5267e-51
0.00043666 2.0172 1.2431e-11 4.2326e-20 1.6084e-37 5.748e-45 2.1137e-51 2.3385e-33 4.1109e-34 5.0995e-33 4.1932e-115 1.2044e-105 9.0038e-96 1.6652e-93 8.8554e-97 1.2074e-66 4.9607e-46 2.5855e-28 5.5118e-14 0.0012777 1.1211e-40 5.3623e-33 2.2571e-31 3.4848e-51 2.4292e-49 2.729e-70 3.2129e-94 7.5973e-73 1.6334e-52 8.8953e-36 3.6597e-23 4.7978e-29 4.1522e-113 1.4654e-105 1.4202e-101 6.121e-102 6.5093e-108 4.1742e-119 6.1773e-134 0.004889 0.005111 2.0033e-10 2.4461e-08 6.9206e-18 7.8374e-32 8.9869e-50
9.1247e-06 2.0607 2.8865e-11 1.8229e-20 1.1126e-36 1.7125e-44 2.712e-51 3.3805e-34 1.3798e-34 3.9744e-33 2.0066e-113 2.4823e-104 7.9919e-95 6.3658e-93 1.4579e-96 2.5231e-68 2.407e-47 2.9128e-29 1.4419e-14 0.00077611 2.6032e-40 5.3623e-33 9.7209e-32 2.4107e-50 7.2373e-49 3.5016e-70 1.7754e-94 1.5876e-74 7.9253e-54 1.0022e-36 9.5736e-24 2.9142e-29 2.8025e-111 4.2598e-104 1.7779e-100 3.3002e-101 1.5114e-107 4.1743e-119 2.6605e-134 0.0068954 0.0031045 5.2407e-11 8.0106e-08 5.2624e-17 1.3838e-30 3.6843e-48
1.9067e-07 2.1027 6.4983e-11 8.097e-21 7.6969e-36 5.2621e-44 3.7017e-51 4.8867e-35 4.4904e-35 2.9118e-33 9.6028e-112 5.2767e-103 7.5461e-94 2.6699e-92 2.7161e-96 5.2724e-70 1.1323e-48 3.0849e-30 3.4378e-15 0.00041658 5.8604e-40 5.3623e-33 4.318e-32 1.6677e-49 2.2239e-48 4.7795e-70 1.0764e-94 3.3174e-76 3.7284e-55 1.0614e-37 2.2826e-24 1.5642e-29 1.6208e-109 1.0943e-102 2.0288e-99 1.6728e-100 3.403e-107 4.1747e-119 1.1819e-134 0.0083332 0.0016666 1.2496e-11 2.1794e-07 3.2232e-16 1.9081e-29 1.1437e-46
3.9844e-09 2.1437 1.4356e-10 3.665e-21 5.3245e-35 1.6477e-43 5.2466e-51 7.064e-36 1.4341e-35 2.0544e-33 4.5954e-110 1.143e-101 7.3987e-93 1.1849e-91 5.4562e-96 1.1017e-71 5.2275e-50 3.1464e-31 7.7463e-16 0.00020738 1.2947e-39 5.3623e-33 1.9545e-32 1.1536e-48 6.9635e-48 6.7741e-70 6.9057e-95 6.9323e-78 1.7212e-56 1.0825e-38 5.1433e-25 7.7869e-30 8.5345e-108 2.6082e-101 2.1888e-98 8.1687e-100 7.522e-107 4.1768e-119 5.3524e-135 0.0091694 0.00083005 2.8172e-12 5.2981e-07 1.7311e-15 2.264e-28 2.998e-45
8.3261e-11 2.1841 3.1392e-10 1.6761e-21 3.6833e-34 5.2128e-43 7.5909e-51 1.0212e-36 4.5329e-36 1.4199e-33 2.1991e-108 2.5015e-100 7.4052e-92 5.4236e-91 1.1421e-95 2.3023e-73 2.3886e-51 3.1436e-32 1.6923e-16 9.9067e-05 2.831e-39 5.3623e-33 8.9384e-33 7.9806e-48 2.203e-47 9.8009e-70 4.5693e-95 1.4486e-79 7.8647e-58 1.0816e-39 1.1237e-25 3.7199e-30 4.2765e-106 5.9771e-100 2.2939e-97 3.9151e-99 1.6488e-106 4.1869e-119 2.4537e-135 0.0096013 0.00039748 6.1697e-13 1.2131e-06 8.6666e-15 2.4784e-27 7.1765e-44
1.7399e-12 2.2242 6.8184e-10 7.7169e-22 2.548e-33 1.6602e-42 1.1131e-50 1.4761e-37 1.4232e-36 9.6835e-34 1.0524e-106 5.5114e-99 7.5117e-91 2.533e-90 2.4559e-95 4.8109e-75 1.0841e-52 3.099e-33 3.6236e-17 4.6073e-05 6.149e-39 5.3623e-33 4.1153e-33 5.5207e-47 7.0165e-47 1.4372e-69 3.0848e-95 3.0271e-81 3.5696e-59 1.0662e-40 2.406e-26 1.73e-30 2.0911e-104 1.3456e-98 2.3775e-96 1.8683e-98 3.6223e-106 4.2352e-119 1.1427e-135 0.0098103 0.00018699 1.3363e-13 2.6921e-06 4.1776e-14 2.5949e-26 1.632e-42
3.6357e-14 2.2638 1.4649e-09 3.5919e-22 1.7627e-32 5.3459e-42 1.6683e-50 2.1338e-38 4.4201e-37 6.461e-34 5.0362e-105 1.2276e-97 7.7881e-90 1.2224e-89 5.5165e-95 1.0053e-76 4.867e-54 2.989e-34 7.5087e-18 2.0511e-05 1.3211e-38 5.3623e-33 1.9155e-33 3.8191e-46 2.2593e-46 2.154e-69 2.152e-95 6.3255e-83 1.6025e-60 1.0284e-41 4.9856e-27 7.7017e-31 1.0105e-102 3.0265e-97 2.4891e-95 9.1043e-98 8.2163e-106 4.4714e-119 5.6156e-136 0.0099063 8.7886e-05 2.9234e-14 5.8403e-06 1.9471e-13 2.5983e-25 3.5108e-41
7.5973e-16 2.3011 3.0155e-09 1.7449e-22 1.2194e-31 1.7965e-41 2.7233e-50 3.0846e-39 1.3153e-37 3.9579e-34 2.4101e-103 2.8539e-96 8.795e-89 6.7057e-89 1.4701e-94 2.1007e-78 2.0936e-55 2.6469e-35 1.3688e-18 7.6969e-06 2.7195e-38 5.3623e-33 9.3051e-34 2.6419e-45 7.5922e-46 3.5162e-69 1.7065e-95 1.3218e-84 6.8936e-62 9.1066e-43 9.0882e-28 2.8901e-31 4.8545e-101 7.0633e-96 2.8219e-94 5.014e-97 2.1981e-105 5.811e-119 3.5452e-136 0.0099451 4.286e-05 6.9257e-15 1.207e-05 8.2834e-13 2.2755e-24 6.3293e-40
