$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zn_{i}^{\times}$ $Zn_{i}^{\bullet}$ $Zn_{i}^{\bullet\bullet}$ $Zn_{Sn}^{''}$ $Zn_{Sn}^{'''}$ $Zn_{Sn}^{''''}$
1 0.19555 6.215e-27 8.4031e-05 3.3609e-39 2.4025e-31 1.7671e-22 1.1191e-31 9.8352e-48 6.0996e-62 1.831e-118 1.052e-93 1.573e-68 5.8191e-51 6.1897e-39 2.7651e-63 5.6796e-58 1.4799e-55 1.5773e-56 1.828e-61 5.6049e-56 5.3623e-33 4.5148e-16 7.2821e-53 1.0153e-35 2.2816e-41 5.3728e-50 1.7398e-69 1.8701e-64 5.0917e-63 1.0473e-65 6.8641e-87 2.6309e-42 9.5011e-21 2.8992e-05 7.1008e-05 1.1023e-25 1.3211e-52
0.020896 0.23875 1.4333e-26 3.659e-05 2.325e-38 7.2065e-31 2.2984e-22 1.6177e-32 3.2789e-48 4.6897e-62 8.7623e-117 2.1829e-92 1.4153e-67 2.2702e-50 1.0471e-38 5.7781e-65 2.7372e-59 1.6448e-56 4.043e-57 1.0806e-61 1.2926e-55 5.3623e-33 1.9576e-16 5.0375e-52 3.0456e-35 2.9675e-41 3.03e-50 3.6357e-71 9.0125e-66 5.6591e-64 2.6845e-66 4.0577e-87 1.9718e-41 3.0876e-20 4.0852e-05 5.9148e-05 2.1175e-25 5.8531e-52
0.00043666 0.28588 3.566e-26 1.4736e-05 1.6084e-37 2.0038e-30 2.5687e-22 2.3385e-33 1.1792e-48 4.1961e-62 4.1932e-115 4.1988e-91 1.0942e-66 7.0551e-50 1.3079e-38 1.2074e-66 1.423e-60 2.1274e-57 1.301e-57 8.6512e-62 3.2159e-55 5.3623e-33 7.8687e-17 3.4848e-51 8.4685e-35 3.3166e-41 1.3612e-50 7.5973e-73 4.6854e-67 7.3195e-65 8.6382e-67 3.2484e-87 1.3837e-40 8.7088e-20 4.6316e-05 5.3684e-05 4.7816e-25 3.2882e-51
9.1247e-06 0.33471 9.1699e-26 5.7351e-06 1.1126e-36 5.3906e-30 2.6873e-22 3.3805e-34 4.3834e-49 4.0109e-62 2.0066e-113 7.814e-90 7.919e-66 1.9856e-49 1.4314e-38 2.5231e-68 7.6464e-62 2.9396e-58 4.6226e-58 7.9045e-62 8.2697e-55 5.3623e-33 3.06e-17 2.4107e-50 2.2782e-34 3.4697e-41 5.5378e-51 1.5876e-74 2.5177e-68 1.0114e-65 3.0693e-67 2.9681e-87 9.5939e-40 2.3482e-19 4.8566e-05 5.1434e-05 1.178e-24 2.0832e-50
1.9067e-07 0.38425 2.3906e-25 2.2006e-06 7.6969e-36 1.4304e-29 2.7352e-22 4.8867e-35 1.6519e-49 3.9406e-62 9.6028e-112 1.4344e-88 5.5759e-65 5.3627e-49 1.483e-38 5.2724e-70 4.1656e-63 4.1749e-59 1.7116e-58 7.6299e-62 2.1559e-54 5.3623e-33 1.1738e-17 1.6677e-49 6.0452e-34 3.5316e-41 2.1621e-51 3.3174e-76 1.3716e-69 1.4364e-66 1.1364e-67 2.865e-87 6.6391e-39 6.2333e-19 4.945e-05 5.055e-05 3.0184e-24 1.3915e-49
3.9844e-09 0.43408 6.2663e-25 8.3962e-07 5.3245e-35 3.775e-29 2.7539e-22 7.064e-36 6.2594e-50 3.9139e-62 4.5954e-110 2.6187e-87 3.8836e-64 1.4249e-48 1.5033e-38 1.1017e-71 2.2817e-64 5.9942e-60 6.4413e-59 7.5268e-62 5.6511e-54 5.3623e-33 4.4779e-18 1.1536e-48 1.5954e-33 3.5557e-41 8.3047e-52 6.9323e-78 7.5128e-71 2.0623e-67 4.2769e-68 2.8262e-87 4.593e-38 1.6451e-18 4.979e-05 5.021e-05 7.8585e-24 9.4964e-49
8.3261e-11 0.48401 1.646e-24 3.1966e-07 3.6833e-34 9.9418e-29 2.7611e-22 1.0212e-36 2.3768e-50 3.9038e-62 2.1991e-108 4.7708e-86 2.6936e-63 3.7625e-48 1.5111e-38 2.3023e-73 1.2524e-65 8.6425e-61 2.4395e-59 7.4877e-62 1.4844e-53 5.3623e-33 1.7047e-18 7.9806e-48 4.2016e-33 3.565e-41 3.1698e-52 1.4486e-79 4.1237e-72 2.9735e-68 1.6198e-68 2.8116e-87 3.1773e-37 4.3326e-18 4.992e-05 5.008e-05 2.0589e-23 6.5353e-48
1.7399e-12 0.53398 4.3271e-24 1.216e-07 2.548e-33 2.6161e-28 2.7638e-22 1.4761e-37 9.0321e-51 3.8999e-62 1.0524e-106 8.6846e-85 1.8652e-62 9.9106e-48 1.5141e-38 4.8109e-75 6.8799e-67 1.2481e-61 9.2613e-60 7.4729e-62 3.9023e-53 5.3623e-33 6.4847e-19 5.5207e-47 1.1056e-32 3.5685e-41 1.207e-52 3.0271e-81 2.2653e-73 4.2941e-69 6.1493e-69 2.806e-87 2.198e-36 1.1401e-17 4.997e-05 5.003e-05 5.4072e-23 4.512e-47
3.6357e-14 0.58397 1.1379e-23 4.6241e-08 1.7627e-32 6.8821e-28 2.7649e-22 2.1338e-38 3.4334e-51 3.8984e-62 5.0362e-105 1.5804e-83 1.2908e-61 2.6081e-47 1.5153e-38 1.0053e-76 3.7805e-68 1.8035e-62 3.5192e-60 7.4673e-62 1.0262e-52 5.3623e-33 2.466e-19 3.8191e-46 2.9085e-32 3.5699e-41 4.5916e-53 6.3255e-83 1.2448e-74 6.205e-70 2.3367e-69 2.8039e-87 1.5205e-35 2.9992e-17 4.9988e-05 5.0012e-05 1.4214e-22 3.1189e-46
7.5973e-16 0.63397 2.9926e-23 1.7583e-08 1.2194e-31 1.8102e-27 2.7653e-22 3.0846e-39 1.3053e-51 3.8979e-62 2.4101e-103 2.8758e-82 8.9304e-61 6.8612e-47 1.5157e-38 2.1007e-78 2.0777e-69 2.6067e-63 1.3377e-60 7.4651e-62 2.6988e-52 5.3623e-33 9.3765e-20 2.6419e-45 7.6504e-32 3.5704e-41 1.7461e-53 1.3218e-84 6.8411e-76 8.9685e-71 8.8822e-70 2.8031e-87 1.0519e-34 7.889e-17 4.9996e-05 5.0004e-05 3.7376e-22 2.157e-45
