$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zr_{i}^{\times}$ $Zr_{i}^{\bullet}$ $Zr_{i}^{\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet\bullet}$ $Zr_{Sn}^{\times}$ $Zr_{Sn}^{'}$ $Zr_{Sn}^{''}$ $Zr_{Sn}^{'''}$ $Zr_{Sn}^{''''}$
1 1.4625 2.0354e-09 8.7025e-09 8.1987e-20 3.3103e-21 4.2875e-22 4.731e-16 9.2871e-19 1.5315e-20 1.9136e-59 2.1905e-52 4.0451e-45 1.175e-41 5.787e-41 5.2584e-32 4.9904e-24 1.6868e-17 1.1531e-12 8.2203e-10 7.0109e-23 1.0356e-16 1.435e-13 1.2068e-26 2.152e-23 1.5406e-31 3.5702e-41 4.1711e-35 2.8636e-27 3.1288e-21 2.9713e-17 1.5929e-22 1.8004e-63 2.2445e-57 2.6671e-52 1.7425e-49 1.0532e-48 9.9997e-05 3.3756e-09 1.1662e-16 6.0329e-27 3.4424e-39
0.14456 1.48 2.4111e-09 7.3464e-09 2.1564e-19 7.35e-21 8.0362e-22 1.7987e-16 4.1828e-19 8.1707e-21 1.3238e-58 1.2792e-51 1.9942e-44 4.8898e-41 2.0331e-40 7.6014e-33 8.5455e-25 3.4216e-18 2.7708e-13 2.3398e-10 8.305e-23 1.0356e-16 1.2114e-13 3.1741e-26 4.7782e-23 2.8876e-31 5.6491e-41 6.0296e-36 4.9035e-28 6.3466e-22 7.1398e-18 4.534e-23 1.2454e-62 1.3107e-56 1.3148e-51 7.2515e-49 3.7002e-48 9.9996e-05 3.9986e-09 1.6365e-16 1.0028e-26 6.7782e-39
0.020896 1.4858 2.5497e-09 6.9473e-09 5.6716e-19 1.8281e-20 1.8902e-21 6.8389e-17 1.6817e-19 3.4738e-21 9.1577e-58 8.3685e-51 1.2337e-43 2.8607e-40 1.1248e-39 1.0988e-33 1.3063e-25 5.5309e-19 4.7363e-14 4.2293e-11 8.7822e-23 1.0356e-16 1.1456e-13 8.3484e-26 1.1885e-22 6.792e-31 1.2565e-40 8.7162e-37 7.4956e-29 1.0259e-22 1.2204e-18 8.1954e-24 8.6155e-62 8.5747e-56 8.1339e-51 4.2423e-48 2.0471e-47 9.9996e-05 4.2284e-09 1.8299e-16 1.1858e-26 8.4755e-39
0.0030207 1.4869 2.5765e-09 6.8749e-09 1.4917e-18 4.7582e-20 4.8684e-21 2.6002e-17 6.4612e-20 1.3487e-21 6.3351e-57 5.7287e-50 8.3573e-43 1.9177e-39 7.4616e-39 1.5884e-34 1.9082e-26 8.1645e-20 7.0652e-15 6.3754e-12 8.8747e-23 1.0356e-16 1.1337e-13 2.1958e-25 3.0933e-22 1.7494e-30 3.2026e-40 1.26e-37 1.095e-29 1.5144e-23 1.8205e-19 1.2354e-24 5.96e-61 5.8699e-55 5.5102e-50 2.8439e-47 1.358e-46 9.9996e-05 4.2729e-09 1.8687e-16 1.2237e-26 8.8382e-39
0.00043666 1.487 2.5806e-09 6.8639e-09 3.9235e-18 1.2495e-19 1.2764e-20 9.8861e-18 2.4605e-20 5.1442e-22 4.3824e-56 3.9567e-49 5.763e-42 1.3203e-38 5.129e-38 2.2962e-35 2.7628e-27 1.184e-20 1.0262e-15 9.2748e-13 8.8888e-23 1.0356e-16 1.1319e-13 5.7752e-25 8.1228e-22 4.5865e-30 8.3833e-40 1.8214e-38 1.5853e-30 2.1961e-24 2.6443e-20 1.7972e-25 4.1229e-60 4.0542e-54 3.7997e-49 1.958e-46 9.3349e-46 9.9996e-05 4.2797e-09 1.8746e-16 1.2295e-26 8.8946e-39
6.3122e-05 1.4871 2.5812e-09 6.8624e-09 1.0319e-17 3.2856e-19 3.3556e-20 3.7587e-18 9.3571e-21 1.9568e-22 3.0316e-55 2.7365e-48 3.9848e-41 9.1271e-38 3.5448e-37 3.3192e-36 3.9947e-28 1.7123e-21 1.4845e-16 1.342e-13 8.8908e-23 1.0356e-16 1.1316e-13 1.519e-24 2.1359e-21 1.2058e-29 2.2034e-39 2.6329e-39 2.2922e-31 3.1761e-25 3.8251e-21 2.6004e-26 2.8521e-59 2.8039e-53 2.6273e-48 1.3535e-45 6.4516e-45 9.9996e-05 4.2807e-09 1.8755e-16 1.2304e-26 8.9028e-39
9.1247e-06 1.4871 2.5813e-09 6.8621e-09 2.7142e-17 8.6413e-19 8.8252e-20 1.4291e-18 3.5577e-21 7.4403e-23 2.0972e-54 1.893e-47 2.7564e-40 6.3133e-37 2.4519e-36 4.7982e-37 5.7748e-29 2.4754e-22 2.1461e-17 1.9402e-14 8.8911e-23 1.0356e-16 1.1316e-13 3.9951e-24 5.6177e-21 3.1711e-29 5.7947e-39 3.8061e-40 3.3137e-32 4.5916e-26 5.53e-22 3.7596e-27 1.973e-58 1.9396e-52 1.8174e-47 9.3625e-45 4.4625e-44 9.9996e-05 4.2808e-09 1.8756e-16 1.2305e-26 8.904e-39
1.319e-06 1.4871 2.5813e-09 6.8621e-09 7.1387e-17 2.2728e-18 2.3211e-19 5.4335e-19 1.3527e-21 2.8289e-23 1.4508e-53 1.3095e-46 1.9068e-39 4.3673e-36 1.6961e-35 6.9361e-38 8.3479e-30 3.5784e-23 3.1024e-18 2.8047e-15 8.8912e-23 1.0356e-16 1.1316e-13 1.0508e-23 1.4775e-20 8.3404e-29 1.5241e-38 5.5019e-41 4.7902e-33 6.6375e-27 7.994e-23 5.4348e-28 1.3649e-57 1.3418e-51 1.2572e-46 6.4766e-44 3.0869e-43 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
1.9067e-07 1.4871 2.5813e-09 6.8621e-09 1.8776e-16 5.9778e-18 6.105e-19 2.0658e-19 5.1429e-22 1.0755e-23 1.0036e-52 9.0587e-46 1.3191e-38 3.0212e-35 1.1733e-34 1.0027e-38 1.2067e-30 5.1728e-24 4.4847e-19 4.0544e-16 8.8912e-23 1.0356e-16 1.1316e-13 2.7637e-23 3.8861e-20 2.1937e-28 4.0086e-38 7.9533e-42 6.9245e-34 9.5949e-28 1.1556e-23 7.8564e-29 9.4419e-57 9.2819e-51 8.6969e-46 4.4803e-43 2.1355e-42 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
2.7563e-08 1.4871 2.5813e-09 6.8621e-09 4.9383e-16 1.5723e-17 1.6057e-18 7.8544e-20 1.9554e-22 4.0893e-24 6.9427e-52 6.2666e-45 9.125e-38 2.09e-34 8.1168e-34 1.4494e-39 1.7444e-31 7.4777e-25 6.4828e-20 5.8608e-17 8.8912e-23 1.0356e-16 1.1316e-13 7.269e-23 1.0221e-19 5.7697e-28 1.0543e-37 1.1497e-42 1.001e-34 1.387e-28 1.6705e-24 1.1357e-29 6.5317e-56 6.421e-50 6.0163e-45 3.0994e-42 1.4773e-41 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
