charge     num_O     num_Sn  num_H    num_doping  E_defected      num_site
  0          -1        0       0       0      -620.45228435     2
  1          -1        0       0       0      -627.95068639     2
  2          -1        0       0       0      -635.76439703     2
  0          1         0       0       0      -631.20443624     2
  -1         1         0       0       0      -622.92435675    2
  -2         1         0       0       0      -615.05913866     2
  0          0         1       0       0      -625.77481512     2
  1          0         1       0       0      -635.28581890     2
  2          0         1       0       0      -645.04105696     2
  3          0         1       0       0      -654.08548921     2
  4          0         1       0       0      -662.66499147     2
  0          0        -1       0       0      -612.71824765     1
  -1         0        -1       0       0      -606.98217138     1
  -2         0        -1       0       0      -601.09601584     1
  -3         0        -1       0       0      -595.00126110     1
  -4         0        -1       0       0      -588.62940715     1
  -1         0         0       1       0      -621.89964900     2
  0          0         0       1       0       -631.00413286    2
  1          0         0       1       0       -639.58247286    2
  0         -1         0       1       0       -623.71060504    2
  1         -1         0       1       0       -632.31502647    2    
  2         -1         0       1       0       -638.40068839    2
  3         -1         0       1       0       -644.32639273    2    
  0          0        -1       1       0       -616.86506006    1  
 -1          0        -1       1       0       -611.09550023    1  
 -2          0        -1       1       0       -605.09256290    1  
 -3          0        -1       1       0       -598.79369518    1  
 -4          0        -1       1       0       -590.48752460    1
  0        0         0       0       1       -632.48541548  2
   1        0         0       0       1      -641.95971309    2
   2        0         0       0       1      -651.22855716    2
   3        0         0       0       1      -660.16101658    2
   4        0         0       0       1       -668.40806857   2
   5        0         0       0       1      -676.70658805   2
   0        0         -1       0       1       -636.58378826  1
   1        0         -1       0       1       -645.12620438  1
   -1        0         -1       0       1      -627.63123861  1
     -2        0         -1       0       1    -618.41007991    1
   -3        0         -1       0       1      -608.88364930    1   
     -4        0         -1       0       1    -599.06061022   1
