charge     num_O     num_Sn  num_H    num_doping  E_defected      num_site
  0          -1        0       0       0      -620.45228435     2
  1          -1        0       0       0      -627.95068639     2
  2          -1        0       0       0      -635.76439703     2
  0          1         0       0       0      -631.20443624     2
  -1         1         0       0       0      -622.92435675    2
  -2         1         0       0       0      -615.05913866     2
  0          0         1       0       0      -625.77481512     2
  1          0         1       0       0      -635.28581890     2
  2          0         1       0       0      -645.04105696     2
  3          0         1       0       0      -654.08548921     2
  4          0         1       0       0      -662.66499147     2
  0          0        -1       0       0      -612.71824765     1
  -1         0        -1       0       0      -606.98217138     1
  -2         0        -1       0       0      -601.09601584     1
  -3         0        -1       0       0      -595.00126110     1
  -4         0        -1       0       0      -588.62940715     1
