$\mu_e$ elements 600K 900K 1200K
1.6332 F 6.6355e-23 ? ?    
1.776 F ? 3.6732e-16 ?     
1.9275 F ? ? 9.0605e-13    
-0.0968 In 1.1095e-13 ? ?  
-0.061945 In ? 1.9286e-08 ?
0.027879 In ? ? 5.1564e-06 
0.5997 Mn 1.566e-19 ? ?    
0.6009 Mn ? 3.7453e-12 ?   
0.60588 Mn ? ? 1.9269e-08  
1.6332 Nb 6.6354e-23 ? ?   
1.7759 Nb ? 3.6589e-16 ?   
1.9257 Nb ? ? 8.637e-13    
0.92241 Pd 3.0487e-22 ? ?  
0.93473 Pd ? 5.059e-14 ?   
0.95778 Pd ? ? 6.4113e-10  
0.26889 Rh 9.4067e-17 ? ?  
0.28478 Rh ? 2.2062e-10 ?  
0.31026 Rh ? ? 3.3603e-07  
1.6332 Sb 6.6349e-23 ? ?   
1.7757 Sb ? 3.6319e-16 ?   
1.9235 Sb ? ? 8.1482e-13   
1.6332 Ta 6.6355e-23 ? ?   
1.776 Ta ? 3.6658e-16 ?    
1.9264 Ta ? ? 8.8078e-13   
1.1879 Ti 1.7948e-24 ? ?   
1.2002 Ti ? 1.6494e-15 ?   
1.2233 Ti ? ? 4.9195e-11   
1.2378 Zr 6.8359e-25 ? ?   
1.2502 Zr ? 8.6567e-16 ?   
1.2733 Zr ? ? 3.0334e-11   
