$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$
1 1.4155 3.1669e-15 8.4137e-11 1.7113e-24 2.1623e-25 9.1108e-28 2.5429e-23 3.1927e-27 9.3817e-30 1.895e-77 5.8385e-66 8.9447e-54 7.0114e-44 1.7362e-40 4.7429e-46 1.9332e-33 4.6634e-23 2.9935e-15 2.1031e-11 1.8812e-34 2.498e-22 1.0277e-16 1.5331e-33 6.6059e-28 3.6723e-39 7.7192e-53 3.5001e-50 2.8264e-38 8.6042e-29 3.2193e-22 1.582e-29
0.27544 1.4355 4.0985e-15 6.5012e-11 3.2607e-24 3.1836e-25 1.0365e-27 1.3345e-23 2.1685e-27 8.2468e-30 6.88e-77 1.6379e-65 1.9389e-53 1.1743e-43 2.247e-40 1.3064e-46 6.8912e-34 2.1514e-23 1.7873e-15 1.6251e-11 2.4346e-34 2.498e-22 7.9407e-17 2.9211e-33 9.7257e-28 4.1777e-39 6.7854e-53 9.6406e-51 1.0075e-38 3.9694e-29 1.9221e-22 1.2224e-29
0.075866 1.4555 5.3042e-15 5.0234e-11 6.213e-24 4.6871e-25 1.1791e-27 7.004e-24 1.4729e-27 7.2491e-30 2.4978e-76 4.5947e-65 4.2028e-53 1.9669e-43 2.9081e-40 3.5983e-47 2.4565e-34 9.925e-24 1.0671e-15 1.2556e-11 3.1508e-34 2.498e-22 6.1357e-17 5.5659e-33 1.4319e-27 4.7527e-39 5.9646e-53 2.6554e-51 3.5915e-39 1.8312e-29 1.1476e-22 9.4451e-30
0.020896 1.4755 6.8645e-15 3.8816e-11 1.1838e-23 6.9009e-25 1.3414e-27 3.6758e-24 1.0004e-27 6.372e-30 9.0686e-76 1.289e-64 9.1103e-53 3.2945e-43 3.7638e-40 9.911e-48 8.7565e-35 4.5786e-24 6.3707e-16 9.7018e-12 4.0777e-34 2.498e-22 4.741e-17 1.0605e-32 2.1082e-27 5.4069e-39 5.2432e-53 7.314e-52 1.2802e-39 8.4478e-30 6.8512e-23 7.2978e-30
0.0057557 1.4955 8.8838e-15 2.9993e-11 2.2557e-23 1.016e-24 1.5261e-27 1.9292e-24 6.7948e-28 5.6009e-30 3.2924e-75 3.6161e-64 1.9749e-52 5.5184e-43 4.8714e-40 2.7299e-48 3.1213e-35 2.1122e-24 3.8034e-16 7.4958e-12 5.2772e-34 2.498e-22 3.6634e-17 2.0207e-32 3.104e-27 6.1512e-39 4.6093e-53 2.0145e-52 4.5635e-40 3.8971e-30 4.0903e-23 5.6385e-30
0.0015853 1.5155 1.1497e-14 2.3176e-11 4.298e-23 1.4959e-24 1.7362e-27 1.0125e-24 4.6149e-28 4.923e-30 1.1953e-74 1.0145e-63 4.2811e-52 9.2438e-43 6.3055e-40 7.5191e-49 1.1126e-35 9.7434e-25 2.2705e-16 5.7911e-12 6.8294e-34 2.498e-22 2.8308e-17 3.8503e-32 4.5701e-27 6.9983e-39 4.0521e-53 5.5488e-53 1.6267e-40 1.7977e-30 2.4418e-23 4.3561e-30
0.00043666 1.5355 1.4878e-14 1.7909e-11 8.1894e-23 2.2026e-24 1.9754e-27 5.3137e-25 3.1343e-28 4.3269e-30 4.3398e-74 2.846e-63 9.2811e-52 1.5486e-42 8.1626e-40 2.0711e-49 3.9658e-36 4.4944e-25 1.3554e-16 4.4735e-12 8.8379e-34 2.498e-22 2.1875e-17 7.3365e-32 6.7289e-27 7.9624e-39 3.5626e-53 1.5284e-53 5.7982e-41 8.2923e-31 1.4576e-23 3.365e-30
0.00012027 1.5555 1.9253e-14 1.384e-11 1.5604e-22 3.2432e-24 2.2478e-27 2.7887e-25 2.1286e-28 3.8026e-30 1.5756e-73 7.9849e-63 2.0122e-51 2.5946e-42 1.0569e-39 5.7045e-50 1.4135e-36 2.0729e-25 8.0895e-17 3.4551e-12 1.1437e-33 2.498e-22 1.6904e-17 1.3979e-31 9.908e-27 9.0603e-39 3.1327e-53 4.2097e-54 2.0666e-41 3.8247e-31 8.6996e-24 2.599e-30
3.3128e-05 1.5755 2.4912e-14 1.0696e-11 2.9732e-22 4.7759e-24 2.5581e-27 1.4636e-25 1.4455e-28 3.3413e-30 5.7203e-73 2.2404e-62 4.3634e-51 4.3481e-42 1.3688e-39 1.5712e-50 5.0378e-37 9.5596e-26 4.8271e-17 2.6677e-12 1.4798e-33 2.498e-22 1.3064e-17 2.6636e-31 1.459e-26 1.0311e-38 2.7553e-53 1.1595e-54 7.3655e-42 1.7638e-31 5.1912e-24 2.0067e-30
9.1247e-06 1.5955 3.223e-14 8.2672e-12 5.6652e-22 7.0337e-24 2.912e-27 7.6812e-26 9.8152e-29 2.9353e-30 2.0768e-72 6.2871e-62 9.4643e-51 7.2895e-42 1.7737e-39 4.3278e-51 1.7953e-37 4.4074e-26 2.8793e-17 2.0587e-12 1.9146e-33 2.498e-22 1.0098e-17 5.0752e-31 2.1488e-26 1.1737e-38 2.4242e-53 3.1937e-55 2.6247e-42 8.1319e-32 3.0965e-24 1.5486e-30
