$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Nb_{i}^{\times}$ $Nb_{i}^{\bullet}$ $Nb_{i}^{\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Nb_{Sn}^{\times}$ $Nb_{Sn}^{\bullet}$ $Nb_{Sn}^{'}$ $Nb_{Sn}^{''}$ $Nb_{Sn}^{'''}$ $Nb_{Sn}^{''''}$
1 1.6867 1.0452e-13 2.5493e-12 1.7113e-24 6.5517e-27 8.3641e-31 2.5429e-23 1.0537e-25 1.0219e-26 1.895e-77 1.769e-67 8.2116e-57 1.9503e-48 1.4633e-46 4.7429e-46 6.3804e-32 5.0798e-20 1.0762e-10 2.4954e-05 6.2088e-33 2.498e-22 3.1138e-18 1.5331e-33 2.0015e-29 3.3713e-42 2.1472e-57 3.5001e-50 9.3284e-37 9.3724e-26 1.1574e-17 1.8771e-23 4.2988e-81 3.822e-73 1.9614e-67 1.073e-64 6.8746e-70 1.835e-07 9.9817e-05 1.4029e-13 2.7126e-22 8.2319e-34 4.4602e-48
0.27544 1.7117 1.4425e-13 1.8471e-12 3.2607e-24 9.0452e-27 8.367e-31 1.3345e-23 7.6324e-26 1.0216e-26 6.88e-77 4.6536e-67 1.5652e-56 2.6935e-48 1.4643e-46 1.3064e-46 2.4254e-32 2.665e-20 7.7923e-11 2.4937e-05 8.5689e-33 2.498e-22 2.2561e-18 2.9211e-33 2.7633e-29 3.3725e-42 1.5563e-57 9.6406e-51 3.5461e-37 4.9171e-26 8.3801e-18 1.8758e-23 2.1525e-80 1.3867e-72 5.1561e-67 2.0438e-64 6.8746e-70 2.5307e-07 9.9747e-05 2.6704e-13 7.1259e-22 2.9845e-33 2.2318e-47
0.075866 1.7367 1.9907e-13 1.3385e-12 6.213e-24 1.2489e-26 8.371e-31 7.004e-24 5.5279e-26 1.0211e-26 2.4978e-76 1.2243e-66 2.9837e-56 3.7207e-48 1.4657e-46 3.5983e-47 9.2194e-33 1.398e-20 5.641e-11 2.4913e-05 1.1825e-32 2.498e-22 1.6348e-18 5.5659e-33 3.8153e-29 3.3741e-42 1.1283e-57 2.6554e-51 1.3479e-37 2.5794e-26 6.0665e-18 1.874e-23 1.0774e-79 5.0295e-72 1.3552e-66 3.8925e-64 6.8746e-70 3.4891e-07 9.9651e-05 5.0808e-13 1.8711e-21 1.0815e-32 1.116e-46
0.020896 1.7616 2.747e-13 9.6998e-13 1.1838e-23 1.7245e-26 8.3766e-31 3.6758e-24 4.0034e-26 1.0204e-26 9.0686e-76 3.2211e-66 5.689e-56 5.141e-48 1.4677e-46 9.911e-48 3.5041e-33 7.3322e-21 4.0826e-11 2.488e-05 1.6318e-32 2.498e-22 1.1847e-18 1.0605e-32 5.2682e-29 3.3764e-42 8.1819e-58 7.314e-52 5.1231e-38 1.3528e-26 4.3905e-18 1.8715e-23 5.3906e-79 1.8236e-71 3.5608e-66 7.4118e-64 6.8746e-70 4.8083e-07 9.9519e-05 9.6618e-13 4.9099e-21 3.9159e-32 5.5764e-46
0.0057557 1.7866 3.7901e-13 7.0302e-13 2.2557e-23 2.3815e-26 8.3842e-31 1.9292e-24 2.8989e-26 1.0195e-26 3.2924e-75 8.4757e-66 1.085e-55 7.1062e-48 1.4704e-46 2.7299e-48 1.3317e-33 3.8446e-21 2.9536e-11 2.4834e-05 2.2514e-32 2.498e-22 8.5868e-19 2.0207e-32 7.2754e-29 3.3794e-42 5.9355e-58 2.0145e-52 1.947e-38 7.0934e-27 3.1763e-18 1.8681e-23 2.6954e-78 6.6086e-71 9.3526e-66 1.411e-63 6.8746e-70 6.6221e-07 9.9338e-05 1.8359e-12 1.2873e-20 1.4165e-31 2.7832e-45
0.0015853 1.8116 5.2285e-13 5.0962e-13 4.298e-23 3.2894e-26 8.3947e-31 1.0125e-24 2.0988e-26 1.0182e-26 1.1953e-74 2.2307e-65 2.0699e-55 9.8276e-48 1.4741e-46 7.5191e-49 5.0599e-34 2.0152e-21 2.1357e-11 2.4772e-05 3.1059e-32 2.498e-22 6.2246e-19 3.8503e-32 1.0049e-28 3.3837e-42 4.308e-58 5.5488e-53 7.3978e-39 3.7181e-27 2.2968e-18 1.8634e-23 1.3466e-77 2.3933e-70 2.4552e-65 2.6851e-63 6.8746e-70 9.1123e-07 9.9089e-05 3.4851e-12 3.3708e-20 5.1171e-31 1.3869e-44
0.00043666 1.8365 7.211e-13 3.6951e-13 8.1894e-23 4.5445e-26 8.4092e-31 5.3137e-25 1.5191e-26 1.0164e-26 4.3398e-74 5.872e-65 3.9509e-55 1.3601e-47 1.4791e-46 2.0711e-49 1.9222e-34 1.0558e-21 1.5432e-11 2.4687e-05 4.2835e-32 2.498e-22 4.5132e-19 7.3365e-32 1.3883e-28 3.3895e-42 3.129e-58 1.5284e-53 2.8103e-39 1.948e-27 1.6596e-18 1.857e-23 6.7193e-77 8.6591e-70 6.441e-65 5.1074e-63 6.8746e-70 1.2524e-06 9.8748e-05 6.6062e-12 8.8125e-20 1.845e-30 6.8969e-44
0.00012027 1.8614 9.9421e-13 2.6801e-13 1.5604e-22 6.2804e-26 8.4291e-31 2.7887e-25 1.0992e-26 1.014e-26 1.5756e-73 1.5463e-64 7.5458e-55 1.8841e-47 1.4862e-46 5.7045e-50 7.2995e-35 5.5279e-22 1.114e-11 2.457e-05 5.9059e-32 2.498e-22 3.2735e-19 1.3979e-31 1.9187e-28 3.3975e-42 2.2749e-58 4.2097e-54 1.0672e-39 1.0199e-27 1.198e-18 1.8482e-23 3.3475e-76 3.1289e-69 1.6881e-64 9.7086e-63 6.8746e-70 1.7186e-06 9.8281e-05 1.2498e-11 2.2987e-19 6.6354e-30 3.4198e-43
3.3128e-05 1.8863 1.3701e-12 1.9447e-13 2.9732e-22 8.6834e-26 8.4565e-31 1.4636e-25 7.9505e-27 1.0108e-26 5.7203e-73 4.0735e-64 1.4424e-54 2.6134e-47 1.4958e-46 1.5712e-50 2.7708e-35 2.8918e-22 8.0312e-12 2.4412e-05 8.139e-32 2.498e-22 2.3753e-19 2.6636e-31 2.6528e-28 3.4086e-42 1.656e-58 1.1595e-54 4.051e-40 5.3355e-28 8.6369e-19 1.8363e-23 1.6641e-75 1.1286e-68 4.4184e-64 1.8439e-62 6.8746e-70 2.3532e-06 9.7647e-05 2.3584e-11 5.9778e-19 2.378e-29 1.689e-42
9.1247e-06 1.9111 1.8871e-12 1.412e-13 5.6652e-22 1.2013e-25 8.4939e-31 7.6812e-26 5.747e-27 1.0063e-26 2.0768e-72 1.0738e-63 2.7606e-54 3.6314e-47 1.5091e-46 4.3278e-51 1.0512e-35 1.511e-22 5.7797e-12 2.4197e-05 1.121e-31 2.498e-22 1.7246e-19 5.0752e-31 3.6699e-28 3.4237e-42 1.2077e-58 3.1937e-55 1.5368e-40 2.7878e-28 6.2156e-19 1.8201e-23 8.248e-75 4.0616e-68 1.1544e-63 3.4979e-62 6.8746e-70 3.2125e-06 9.6787e-05 4.4346e-11 1.5481e-18 8.4823e-29 8.298e-42
