$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
1 1.4731 3.9204e-21 1.5737e-15 3.3609e-39 0 2.4448e-43 1.1191e-31 1.29e-36 7.1624e-40 1.9577e-118 4.013e-104 2.1763e-89 9.6051e-82 1.8992e-79 1.9144e-62 2.1609e-46 6.2321e-33 1.3236e-22 3.9343e-16
0.14456 1.4931 5.772e-21 1.0689e-15 8.8398e-39 0 2.9665e-43 4.2549e-32 7.221e-37 5.9029e-40 1.3543e-117 1.8856e-103 6.9455e-89 2.082e-81 2.7962e-79 2.7674e-63 4.599e-47 1.9528e-33 6.1064e-23 2.6723e-16
0.020896 1.5131 8.498e-21 7.2602e-16 2.325e-38 0 3.5995e-43 1.6177e-32 4.0421e-37 4.8648e-40 9.3685e-117 8.8597e-103 2.2166e-88 4.5131e-81 4.1168e-79 4.0004e-64 9.7879e-48 6.1189e-34 2.8171e-23 1.815e-16
0.0030207 1.5331 1.2511e-20 4.9313e-16 6.1151e-38 0 4.3675e-43 6.1507e-33 2.2626e-37 4.0093e-40 6.4809e-116 4.1628e-102 7.074e-88 9.7828e-81 6.0612e-79 5.7829e-65 2.0831e-48 1.9173e-34 1.2996e-23 1.2328e-16
0.00043666 1.5531 1.842e-20 3.3494e-16 1.6084e-37 0 5.2995e-43 2.3385e-33 1.2666e-37 3.3042e-40 4.4833e-115 1.956e-101 2.2576e-87 2.1206e-80 8.924e-79 8.3595e-66 4.4335e-49 6.0077e-35 5.9954e-24 8.3731e-17
6.3122e-05 1.5731 2.712e-20 2.275e-16 4.2303e-37 0 6.4305e-43 8.8912e-34 7.0897e-38 2.7231e-40 3.1014e-114 9.1905e-101 7.205e-87 4.5968e-80 1.3139e-78 1.2084e-66 9.4356e-50 1.8824e-35 2.7657e-24 5.6868e-17
9.1247e-06 1.5931 3.9927e-20 1.5453e-16 1.1126e-36 0 7.8031e-43 3.3805e-34 3.9685e-38 2.2441e-40 2.1455e-113 4.3184e-100 2.2995e-86 9.9651e-80 1.9347e-78 1.7468e-67 2.0081e-50 5.8982e-36 1.2758e-24 3.8621e-17
1.319e-06 1.6131 5.878e-20 1.0496e-16 2.9264e-36 0 9.4692e-43 1.2853e-34 2.2213e-38 1.8492e-40 1.4842e-112 2.0292e-99 7.3395e-86 2.1605e-79 2.8491e-78 2.5252e-68 4.2736e-51 1.8479e-36 5.8847e-25 2.6226e-17
1.9067e-07 1.6331 8.653e-20 7.1301e-17 7.6968e-36 0 1.1493e-42 4.8867e-35 1.2433e-38 1.5236e-40 1.0267e-111 9.5355e-99 2.3429e-85 4.6849e-79 4.197e-78 3.6503e-69 9.0942e-52 5.7889e-37 2.7138e-25 1.7804e-17
2.7563e-08 1.653 1.2736e-19 4.8443e-17 2.0244e-35 0 1.3953e-42 1.8579e-35 6.9575e-39 1.255e-40 7.1025e-111 4.4817e-98 7.4814e-85 1.0164e-78 6.1862e-78 5.2767e-70 1.9349e-52 1.8129e-37 1.2509e-25 1.2079e-17
