no   charge     num_O     num_Sn  num_H    num_doping  E_defected      num_site
1     0          -1        0       0       0      -305.409006     2
2     1          -1        0       0       0      -313.031868     2
3     2          -1        0       0       0      -320.585756     2
4     0          1         0       0       0      -316.201104     2
5     -1         1         0       0       0      -307.915919     2
6    -2         1         0       0       0      -300.070039     2
7     0          0         1       0       0      -310.348214     2
8     1          0         1       0       0      -320.183153     2
9    2          0         1       0       0      -330.337267     2
10     3          0         1       0       0      -340.277031     2
11     4          0         1       0       0      -349.250733     2
12     0          0        -1       0       0      -297.799887     1
13     -1         0        -1       0       0      -292.463294     1
14     -2         0        -1       0       0      -286.923641     1
15     -3         0        -1       0       0      -281.118935     1
16     -4         0        -1       0       0      -274.801694     1
17     -1         0         0       1       0      -306.036968     2
18     0          0         0       1       0       -315.790431    2
19     1          0         0       1       0       -324.576319    2
20     0         -1         0       1       0       -308.496792    2
21     1         -1         0       1       0       -317.286272    2    
22     2         -1         0       1       0       -323.254443    2
23     3         -1         0       1       0       -328.984808    2    
24     0          0        -1       1       0       -301.765533    1                                                            
25    -1          0        -1       1       0       -296.303385    1  
26    -2          0        -1       1       0       -290.603198    1  
27    -3          0        -1       1       0       -284.578049    1  
28    -4          0        -1       1       0       -276.268714    1  
29     -1        0         0       0       1       -308.048952     2
30      0        0         0       0       1       -314.759572     2
31      1        0         0       0       1       -321.390780     2
32      0        -1         0       0       1      -311.209320     2
33      1        -1         0       0       1      -319.930369     2
