charge     num_O     num_Sn  num_H    num_doping  E_defected      num_site
  0          -1        0       0       0      -305.486461     2
  1          -1        0       0       0      -312.935603     0
  2          -1        0       0       0      -320.643121     2
  0          1         0       0       0      -316.201104     2
  -1         1         0       0       0      -307.915919     2
  -2         1         0       0       0      -300.070039     2
  0          0         1       0       0      -310.348214     1
  1          0         1       0       0      -320.183153     1
  2          0         1       0       0      -330.337267     1
  3          0         1       0       0      -340.277031     1
  4          0         1       0       0      -349.250733     1
  0          0        -1       0       0      -297.799887     1
  -1         0        -1       0       0      -292.463294     1
  -2         0        -1       0       0      -286.923641     1
  -3         0        -1       0       0      -281.118935     1
  -4         0        -1       0       0      -274.801694     1
